14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t-1)
0.0,0.323,1.0
0.0,0.325,0.0
1.0,0.322,0.0
1.0,0.313,1.0
1.0,0.321,1.0
0.0,0.314,1.0
1.0,0.326,0.0
2.0,0.319,1.0
1.0,0.32,2.0
1.0,0.321,1.0
1.0,0.326,1.0
1.0,0.331,1.0
1.0,0.334,1.0
1.0,0.336,1.0
1.0,0.327,1.0
1.0,0.323,1.0
1.0,0.327,1.0
1.0,0.332,1.0
1.0,0.328,1.0
1.0,0.323,1.0
0.0,0.315,1.0
0.0,0.318,0.0
1.0,0.313,0.0
1.0,0.313,1.0
1.0,0.309,1.0
1.0,0.308,1.0
0.0,0.306,1.0
0.0,0.317,0.0
0.0,0.325,0.0
0.0,0.316,0.0
1.0,0.311,0.0
1.0,0.315,1.0
1.0,0.307,1.0
1.0,0.323,1.0
2.0,0.325,1.0
1.0,0.319,2.0
1.0,0.313,1.0
1.0,0.314,1.0
2.0,0.312,1.0
2.0,0.307,2.0
2.0,0.321,2.0
2.0,0.314,2.0
2.0,0.323,2.0
1.0,0.313,2.0
1.0,0.31,1.0
1.0,0.312,1.0
0.0,0.324,1.0
0.0,0.329,0.0
0.0,0.327,0.0
0.0,0.321,0.0
1.0,0.332,0.0
1.0,0.325,1.0
0.0,0.335,1.0
1.0,0.332,0.0
0.0,0.322,1.0
1.0,0.321,0.0
0.0,0.321,1.0
0.0,0.307,0.0
0.0,0.31,0.0
1.0,0.304,0.0
1.0,0.319,1.0
1.0,0.325,1.0
1.0,0.324,1.0
0.0,0.319,1.0
1.0,0.322,0.0
0.0,0.323,1.0
1.0,0.327,0.0
0.0,0.334,1.0
1.0,0.326,0.0
1.0,0.324,1.0
2.0,0.321,1.0
1.0,0.328,2.0
1.0,0.332,1.0
1.0,0.333,1.0
0.0,0.315,1.0
0.0,0.318,0.0
0.0,0.316,0.0
0.0,0.325,0.0
0.0,0.313,0.0
0.0,0.313,0.0
1.0,0.318,0.0
1.0,0.311,1.0
1.0,0.313,1.0
0.0,0.312,1.0
1.0,0.317,0.0
1.0,0.319,1.0
1.0,0.322,1.0
1.0,0.323,1.0
1.0,0.311,1.0
1.0,0.313,1.0
1.0,0.314,1.0
0.0,0.318,1.0
1.0,0.324,0.0
0.0,0.323,1.0
0.0,0.332,0.0
0.0,0.324,0.0
0.0,0.328,0.0
0.0,0.328,0.0
1.0,0.331,0.0
1.0,0.335,1.0
1.0,0.334,1.0
1.0,0.34,1.0
1.0,0.339,1.0
0.0,0.337,1.0
0.0,0.335,0.0
1.0,0.336,0.0
1.0,0.331,1.0
0.0,0.331,1.0
0.0,0.335,0.0
1.0,0.327,0.0
1.0,0.321,1.0
1.0,0.309,1.0
1.0,0.319,1.0
0.0,0.33,1.0
0.0,0.332,0.0
0.0,0.336,0.0
0.0,0.339,0.0
0.0,0.323,0.0
0.0,0.324,0.0
0.0,0.324,0.0
0.0,0.326,0.0
0.0,0.33,0.0
1.0,0.325,0.0
1.0,0.316,1.0
1.0,0.318,1.0
0.0,0.32,1.0
1.0,0.322,0.0
1.0,0.31,1.0
0.0,0.321,1.0
1.0,0.313,0.0
0.0,0.317,1.0
0.0,0.312,0.0
0.0,0.312,0.0
0.0,0.313,0.0
0.0,0.311,0.0
0.0,0.321,0.0
1.0,0.316,0.0
1.0,0.309,1.0
1.0,0.31,1.0
1.0,0.32,1.0
0.0,0.323,1.0
1.0,0.33,0.0
1.0,0.329,1.0
1.0,0.326,1.0
1.0,0.328,1.0
1.0,0.325,1.0
0.0,0.318,1.0
0.0,0.319,0.0
0.0,0.328,0.0
0.0,0.327,0.0
1.0,0.328,0.0
1.0,0.327,1.0
1.0,0.323,1.0
0.0,0.324,1.0
0.0,0.332,0.0
1.0,0.33,0.0
1.0,0.326,1.0
0.0,0.353,1.0
2.0,0.345,0.0
1.0,0.353,2.0
1.0,0.343,1.0
1.0,0.333,1.0
0.0,0.34,1.0
0.0,0.343,0.0
0.0,0.333,0.0
0.0,0.331,0.0
0.0,0.337,0.0
0.0,0.322,0.0
0.0,0.312,0.0
0.0,0.306,0.0
0.0,0.316,0.0
0.0,0.321,0.0
0.0,0.321,0.0
0.0,0.312,0.0
0.0,0.318,0.0
0.0,0.326,0.0
1.0,0.329,0.0
1.0,0.324,1.0
1.0,0.322,1.0
1.0,0.321,1.0
2.0,0.327,1.0
2.0,0.319,2.0
2.0,0.317,2.0
2.0,0.313,2.0
2.0,0.313,2.0
2.0,0.319,2.0
1.0,0.331,2.0
2.0,0.33,1.0
1.0,0.332,2.0
2.0,0.331,1.0
1.0,0.334,2.0
1.0,0.33,1.0
1.0,0.327,1.0
1.0,0.324,1.0
0.0,0.319,1.0
0.0,0.319,0.0
0.0,0.32,0.0
1.0,0.313,0.0
0.0,0.311,1.0
0.0,0.309,0.0
0.0,0.31,0.0
1.0,0.316,0.0
1.0,0.323,1.0
1.0,0.329,1.0
1.0,0.325,1.0
2.0,0.331,1.0
