3cc39f92-e725-4db2-ad28-da3438ddc495_(t),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t-1),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t-1)
0.256,0.435,0.0,0.268,0.434
0.263,0.442,0.0,0.256,0.435
0.26,0.447,0.0,0.263,0.442
0.279,0.435,0.0,0.26,0.447
0.268,0.427,0.0,0.279,0.435
0.275,0.421,0.0,0.268,0.427
0.268,0.426,0.0,0.275,0.421
0.271,0.426,1.0,0.268,0.426
0.265,0.43,2.0,0.271,0.426
0.268,0.427,1.0,0.265,0.43
0.27,0.427,1.0,0.268,0.427
0.281,0.42,0.0,0.27,0.427
0.286,0.422,0.0,0.281,0.42
0.274,0.422,0.0,0.286,0.422
0.277,0.437,0.0,0.274,0.422
0.278,0.453,0.0,0.277,0.437
0.284,0.444,0.0,0.278,0.453
0.282,0.444,0.0,0.284,0.444
0.278,0.45,0.0,0.282,0.444
0.267,0.439,0.0,0.278,0.45
0.269,0.431,0.0,0.267,0.439
0.276,0.425,0.0,0.269,0.431
0.27,0.427,0.0,0.276,0.425
0.273,0.415,0.0,0.27,0.427
0.279,0.411,0.0,0.273,0.415
0.272,0.397,0.0,0.279,0.411
0.27,0.387,0.0,0.272,0.397
0.273,0.393,0.0,0.27,0.387
0.274,0.388,0.0,0.273,0.393
0.269,0.395,0.0,0.274,0.388
0.264,0.398,0.0,0.269,0.395
0.263,0.405,0.0,0.264,0.398
0.267,0.398,0.0,0.263,0.405
0.272,0.404,0.0,0.267,0.398
0.283,0.408,0.0,0.272,0.404
0.279,0.419,0.0,0.283,0.408
0.278,0.435,0.0,0.279,0.419
0.275,0.426,0.0,0.278,0.435
0.265,0.435,0.0,0.275,0.426
0.275,0.437,0.0,0.265,0.435
0.278,0.437,0.0,0.275,0.437
0.27,0.432,0.0,0.278,0.437
0.27,0.435,0.0,0.27,0.432
0.285,0.438,1.0,0.27,0.435
0.28,0.43,0.0,0.285,0.438
0.279,0.414,0.0,0.28,0.43
0.281,0.408,0.0,0.279,0.414
0.278,0.402,0.0,0.281,0.408
0.305,0.405,0.0,0.278,0.402
0.302,0.395,0.0,0.305,0.405
0.292,0.401,0.0,0.302,0.395
0.295,0.4,0.0,0.292,0.401
0.276,0.417,0.0,0.295,0.4
0.268,0.408,0.0,0.276,0.417
0.268,0.415,0.0,0.268,0.408
0.267,0.426,0.0,0.268,0.415
0.266,0.427,0.0,0.267,0.426
0.272,0.431,0.0,0.266,0.427
0.27,0.421,0.0,0.272,0.431
0.266,0.419,0.0,0.27,0.421
0.272,0.428,0.0,0.266,0.419
0.269,0.429,0.0,0.272,0.428
0.266,0.423,0.0,0.269,0.429
0.268,0.415,0.0,0.266,0.423
0.277,0.423,0.0,0.268,0.415
0.28,0.429,0.0,0.277,0.423
0.285,0.439,0.0,0.28,0.429
0.284,0.428,0.0,0.285,0.439
0.284,0.437,0.0,0.284,0.428
0.285,0.439,0.0,0.284,0.437
0.279,0.423,0.0,0.285,0.439
0.302,0.427,0.0,0.279,0.423
0.288,0.432,0.0,0.302,0.427
0.282,0.43,0.0,0.288,0.432
0.274,0.427,0.0,0.282,0.43
0.276,0.431,0.0,0.274,0.427
0.261,0.428,0.0,0.276,0.431
0.26,0.421,0.0,0.261,0.428
0.262,0.425,0.0,0.26,0.421
0.266,0.42,0.0,0.262,0.425
0.261,0.421,0.0,0.266,0.42
0.274,0.425,0.0,0.261,0.421
0.272,0.43,0.0,0.274,0.425
0.283,0.428,0.0,0.272,0.43
0.283,0.446,0.0,0.283,0.428
0.269,0.452,0.0,0.283,0.446
0.286,0.444,0.0,0.269,0.452
0.295,0.441,0.0,0.286,0.444
0.297,0.435,0.0,0.295,0.441
0.31,0.432,0.0,0.297,0.435
0.293,0.44,0.0,0.31,0.432
0.281,0.433,0.0,0.293,0.44
0.276,0.442,0.0,0.281,0.433
0.277,0.441,0.0,0.276,0.442
0.275,0.437,0.0,0.277,0.441
0.277,0.427,0.0,0.275,0.437
0.273,0.412,0.0,0.277,0.427
0.28,0.432,0.0,0.273,0.412
0.274,0.442,1.0,0.28,0.432
0.265,0.452,0.0,0.274,0.442
0.257,0.446,0.0,0.265,0.452
0.266,0.443,0.0,0.257,0.446
0.267,0.429,0.0,0.266,0.443
0.28,0.42,0.0,0.267,0.429
0.29,0.428,0.0,0.28,0.42
0.28,0.414,0.0,0.29,0.428
0.286,0.413,0.0,0.28,0.414
0.29,0.41,0.0,0.286,0.413
0.288,0.421,0.0,0.29,0.41
0.297,0.42,0.0,0.288,0.421
0.299,0.418,0.0,0.297,0.42
0.287,0.419,0.0,0.299,0.418
0.277,0.426,0.0,0.287,0.419
0.292,0.44,0.0,0.277,0.426
0.275,0.457,0.0,0.292,0.44
0.278,0.466,0.0,0.275,0.457
0.284,0.472,0.0,0.278,0.466
0.289,0.473,0.0,0.284,0.472
0.284,0.462,0.0,0.289,0.473
0.282,0.461,0.0,0.284,0.462
0.274,0.459,0.0,0.282,0.461
0.273,0.458,0.0,0.274,0.459
0.265,0.46,0.0,0.273,0.458
0.269,0.445,0.0,0.265,0.46
0.265,0.433,0.0,0.269,0.445
0.27,0.422,0.0,0.265,0.433
0.266,0.419,0.0,0.27,0.422
0.264,0.417,0.0,0.266,0.419
0.255,0.408,0.0,0.264,0.417
0.266,0.422,0.0,0.255,0.408
0.271,0.419,0.0,0.266,0.422
0.275,0.407,0.0,0.271,0.419
0.27,0.405,0.0,0.275,0.407
0.276,0.407,0.0,0.27,0.405
0.273,0.411,0.0,0.276,0.407
0.264,0.411,0.0,0.273,0.411
0.265,0.419,0.0,0.264,0.411
0.261,0.424,0.0,0.265,0.419
0.269,0.437,0.0,0.261,0.424
0.269,0.423,0.0,0.269,0.437
0.277,0.434,0.0,0.269,0.423
0.283,0.455,0.0,0.277,0.434
0.287,0.461,0.0,0.283,0.455
0.275,0.458,0.0,0.287,0.461
0.276,0.458,0.0,0.275,0.458
0.271,0.456,0.0,0.276,0.458
0.262,0.432,0.0,0.271,0.456
0.265,0.418,0.0,0.262,0.432
0.258,0.408,0.0,0.265,0.418
0.264,0.418,0.0,0.258,0.408
0.261,0.419,0.0,0.264,0.418
0.271,0.418,0.0,0.261,0.419
0.269,0.394,0.0,0.271,0.418
0.281,0.388,0.0,0.269,0.394
0.271,0.4,0.0,0.281,0.388
0.274,0.404,0.0,0.271,0.4
0.269,0.406,0.0,0.274,0.404
0.273,0.411,0.0,0.269,0.406
0.285,0.418,0.0,0.273,0.411
0.278,0.423,0.0,0.285,0.418
0.274,0.397,0.0,0.278,0.423
0.275,0.402,0.0,0.274,0.397
0.258,0.415,0.0,0.275,0.402
0.261,0.427,0.0,0.258,0.415
0.26,0.429,0.0,0.261,0.427
0.259,0.437,0.0,0.26,0.429
0.272,0.451,0.0,0.259,0.437
0.275,0.471,0.0,0.272,0.451
0.267,0.468,0.0,0.275,0.471
0.263,0.471,0.0,0.267,0.468
0.269,0.466,0.0,0.263,0.471
0.27,0.476,0.0,0.269,0.466
0.271,0.471,0.0,0.27,0.476
0.283,0.485,0.0,0.271,0.471
0.287,0.492,0.0,0.283,0.485
0.271,0.477,0.0,0.287,0.492
0.266,0.457,0.0,0.271,0.477
0.273,0.449,0.0,0.266,0.457
0.277,0.454,0.0,0.273,0.449
0.276,0.453,0.0,0.277,0.454
0.277,0.464,0.0,0.276,0.453
0.274,0.459,0.0,0.277,0.464
0.281,0.464,0.0,0.274,0.459
0.283,0.445,1.0,0.281,0.464
0.274,0.427,0.0,0.283,0.445
0.27,0.442,0.0,0.274,0.427
0.262,0.445,0.0,0.27,0.442
0.271,0.446,0.0,0.262,0.445
0.275,0.434,0.0,0.271,0.446
0.274,0.43,0.0,0.275,0.434
0.273,0.433,0.0,0.274,0.43
0.277,0.427,0.0,0.273,0.433
0.28,0.424,1.0,0.277,0.427
0.273,0.424,1.0,0.28,0.424
0.279,0.426,0.0,0.273,0.424
0.279,0.425,0.0,0.279,0.426
0.276,0.419,0.0,0.279,0.425
0.277,0.43,0.0,0.276,0.419
0.271,0.433,0.0,0.277,0.43
0.279,0.435,0.0,0.271,0.433
0.278,0.429,0.0,0.279,0.435
0.287,0.42,0.0,0.278,0.429
0.29,0.425,0.0,0.287,0.42
0.277,0.423,0.0,0.29,0.425
0.283,0.453,0.0,0.277,0.423
0.286,0.46,0.0,0.283,0.453
0.289,0.455,0.0,0.286,0.46
0.273,0.441,0.0,0.289,0.455
0.269,0.447,0.0,0.273,0.441
0.272,0.449,0.0,0.269,0.447
0.273,0.456,0.0,0.272,0.449
0.282,0.463,0.0,0.273,0.456
0.28,0.458,0.0,0.282,0.463
0.276,0.468,0.0,0.28,0.458
0.275,0.452,0.0,0.276,0.468
0.275,0.431,0.0,0.275,0.452
0.287,0.436,0.0,0.275,0.431
0.283,0.443,0.0,0.287,0.436
0.276,0.443,0.0,0.283,0.443
0.27,0.435,0.0,0.276,0.443
0.278,0.436,0.0,0.27,0.435
0.278,0.439,0.0,0.278,0.436
0.277,0.442,0.0,0.278,0.439
0.272,0.429,0.0,0.277,0.442
0.272,0.438,0.0,0.272,0.429
0.284,0.441,1.0,0.272,0.438
0.288,0.443,1.0,0.284,0.441
0.29,0.451,0.0,0.288,0.443
0.285,0.445,0.0,0.29,0.451
0.279,0.453,0.0,0.285,0.445
0.278,0.45,0.0,0.279,0.453
0.27,0.456,0.0,0.278,0.45
