90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.448,0.518,0.0,0.46,0.512
0.431,0.515,0.0,0.448,0.518
0.425,0.52,0.0,0.431,0.515
0.427,0.511,0.0,0.425,0.52
0.416,0.537,0.0,0.427,0.511
0.414,0.534,0.0,0.416,0.537
0.415,0.558,0.0,0.414,0.534
0.427,0.554,0.0,0.415,0.558
0.432,0.555,0.0,0.427,0.554
0.438,0.547,1.0,0.432,0.555
0.446,0.552,1.0,0.438,0.547
0.445,0.544,1.0,0.446,0.552
0.453,0.534,0.0,0.445,0.544
0.437,0.543,0.0,0.453,0.534
0.43,0.543,0.0,0.437,0.543
0.432,0.533,0.0,0.43,0.543
0.435,0.547,0.0,0.432,0.533
0.427,0.551,0.0,0.435,0.547
0.438,0.554,0.0,0.427,0.551
0.438,0.561,0.0,0.438,0.554
0.445,0.56,0.0,0.438,0.561
0.441,0.551,0.0,0.445,0.56
0.446,0.553,0.0,0.441,0.551
0.449,0.556,0.0,0.446,0.553
0.462,0.544,0.0,0.449,0.556
0.442,0.557,0.0,0.462,0.544
0.447,0.555,0.0,0.442,0.557
0.445,0.541,1.0,0.447,0.555
0.44,0.53,1.0,0.445,0.541
0.431,0.521,0.0,0.44,0.53
0.423,0.524,0.0,0.431,0.521
0.421,0.513,0.0,0.423,0.524
0.421,0.522,0.0,0.421,0.513
0.414,0.529,0.0,0.421,0.522
0.414,0.528,0.0,0.414,0.529
0.403,0.539,0.0,0.414,0.528
0.406,0.543,0.0,0.403,0.539
0.407,0.522,0.0,0.406,0.543
0.412,0.516,0.0,0.407,0.522
0.411,0.517,0.0,0.412,0.516
0.426,0.533,0.0,0.411,0.517
0.429,0.531,0.0,0.426,0.533
0.433,0.514,0.0,0.429,0.531
0.444,0.52,0.0,0.433,0.514
0.433,0.518,0.0,0.444,0.52
0.437,0.526,0.0,0.433,0.518
0.427,0.516,0.0,0.437,0.526
0.439,0.533,0.0,0.427,0.516
0.435,0.536,0.0,0.439,0.533
0.445,0.523,0.0,0.435,0.536
0.432,0.518,0.0,0.445,0.523
0.43,0.52,0.0,0.432,0.518
0.415,0.526,1.0,0.43,0.52
0.412,0.535,0.0,0.415,0.526
0.414,0.529,0.0,0.412,0.535
0.414,0.527,0.0,0.414,0.529
0.417,0.551,1.0,0.414,0.527
0.41,0.539,1.0,0.417,0.551
0.407,0.551,1.0,0.41,0.539
0.405,0.535,0.0,0.407,0.551
0.403,0.524,0.0,0.405,0.535
0.405,0.518,0.0,0.403,0.524
0.409,0.511,0.0,0.405,0.518
0.419,0.513,0.0,0.409,0.511
0.429,0.524,0.0,0.419,0.513
0.411,0.516,0.0,0.429,0.524
0.416,0.525,0.0,0.411,0.516
0.409,0.525,0.0,0.416,0.525
0.42,0.523,0.0,0.409,0.525
0.42,0.529,0.0,0.42,0.523
0.421,0.52,0.0,0.42,0.529
0.439,0.517,0.0,0.421,0.52
0.434,0.517,0.0,0.439,0.517
0.446,0.541,0.0,0.434,0.517
0.441,0.527,0.0,0.446,0.541
0.437,0.533,1.0,0.441,0.527
0.43,0.527,1.0,0.437,0.533
0.43,0.531,0.0,0.43,0.527
0.425,0.55,0.0,0.43,0.531
0.412,0.54,0.0,0.425,0.55
0.415,0.545,0.0,0.412,0.54
0.428,0.545,0.0,0.415,0.545
0.416,0.55,0.0,0.428,0.545
0.417,0.545,0.0,0.416,0.55
0.427,0.539,0.0,0.417,0.545
0.412,0.531,0.0,0.427,0.539
0.42,0.525,0.0,0.412,0.531
0.406,0.525,0.0,0.42,0.525
0.407,0.535,0.0,0.406,0.525
0.398,0.53,0.0,0.407,0.535
0.399,0.526,0.0,0.398,0.53
0.401,0.525,0.0,0.399,0.526
0.399,0.522,0.0,0.401,0.525
0.404,0.547,0.0,0.399,0.522
0.416,0.537,0.0,0.404,0.547
0.42,0.54,0.0,0.416,0.537
0.416,0.522,0.0,0.42,0.54
0.396,0.522,0.0,0.416,0.522
0.403,0.546,0.0,0.396,0.522
0.397,0.559,0.0,0.403,0.546
0.4,0.547,0.0,0.397,0.559
0.411,0.529,0.0,0.4,0.547
0.409,0.547,0.0,0.411,0.529
0.414,0.532,0.0,0.409,0.547
0.417,0.503,0.0,0.414,0.532
0.406,0.51,0.0,0.417,0.503
0.402,0.519,0.0,0.406,0.51
0.413,0.512,0.0,0.402,0.519
0.405,0.506,0.0,0.413,0.512
0.427,0.508,0.0,0.405,0.506
0.437,0.513,0.0,0.427,0.508
0.436,0.536,0.0,0.437,0.513
0.443,0.513,0.0,0.436,0.536
0.437,0.527,0.0,0.443,0.513
0.435,0.531,0.0,0.437,0.527
0.434,0.546,0.0,0.435,0.531
0.431,0.544,0.0,0.434,0.546
0.437,0.529,0.0,0.431,0.544
0.447,0.534,0.0,0.437,0.529
0.434,0.526,0.0,0.447,0.534
0.413,0.54,0.0,0.434,0.526
0.411,0.545,0.0,0.413,0.54
0.412,0.532,0.0,0.411,0.545
0.412,0.505,0.0,0.412,0.532
0.426,0.511,0.0,0.412,0.505
0.411,0.512,0.0,0.426,0.511
0.425,0.497,0.0,0.411,0.512
0.426,0.497,0.0,0.425,0.497
0.443,0.5,0.0,0.426,0.497
0.437,0.504,0.0,0.443,0.5
0.436,0.507,0.0,0.437,0.504
0.449,0.514,0.0,0.436,0.507
0.437,0.513,0.0,0.449,0.514
0.441,0.539,0.0,0.437,0.513
0.454,0.532,0.0,0.441,0.539
0.451,0.525,0.0,0.454,0.532
0.429,0.515,0.0,0.451,0.525
0.433,0.514,0.0,0.429,0.515
0.425,0.526,0.0,0.433,0.514
0.424,0.511,0.0,0.425,0.526
0.423,0.531,0.0,0.424,0.511
0.419,0.532,0.0,0.423,0.531
0.407,0.53,0.0,0.419,0.532
0.407,0.525,0.0,0.407,0.53
0.409,0.516,0.0,0.407,0.525
0.392,0.503,0.0,0.409,0.516
0.391,0.495,0.0,0.392,0.503
0.402,0.493,0.0,0.391,0.495
0.399,0.502,0.0,0.402,0.493
0.408,0.505,0.0,0.399,0.502
0.401,0.511,0.0,0.408,0.505
0.404,0.507,0.0,0.401,0.511
0.397,0.504,0.0,0.404,0.507
0.402,0.498,0.0,0.397,0.504
0.405,0.499,0.0,0.402,0.498
0.413,0.505,0.0,0.405,0.499
0.428,0.505,0.0,0.413,0.505
0.418,0.515,0.0,0.428,0.505
0.422,0.514,0.0,0.418,0.515
0.426,0.516,0.0,0.422,0.514
0.414,0.526,0.0,0.426,0.516
0.421,0.533,0.0,0.414,0.526
0.441,0.54,0.0,0.421,0.533
0.436,0.544,0.0,0.441,0.54
0.424,0.533,0.0,0.436,0.544
0.425,0.53,0.0,0.424,0.533
0.425,0.532,0.0,0.425,0.53
0.414,0.536,0.0,0.425,0.532
0.416,0.526,0.0,0.414,0.536
0.41,0.526,0.0,0.416,0.526
0.402,0.509,0.0,0.41,0.526
0.405,0.506,0.0,0.402,0.509
0.404,0.506,0.0,0.405,0.506
0.407,0.516,0.0,0.404,0.506
0.409,0.515,0.0,0.407,0.516
0.414,0.51,0.0,0.409,0.515
0.417,0.51,0.0,0.414,0.51
0.417,0.511,0.0,0.417,0.51
0.415,0.508,0.0,0.417,0.511
0.423,0.511,0.0,0.415,0.508
0.421,0.511,0.0,0.423,0.511
0.419,0.516,0.0,0.421,0.511
0.416,0.508,0.0,0.419,0.516
0.415,0.502,0.0,0.416,0.508
0.405,0.502,0.0,0.415,0.502
0.4,0.501,0.0,0.405,0.502
0.425,0.511,0.0,0.4,0.501
0.419,0.502,0.0,0.425,0.511
0.427,0.508,0.0,0.419,0.502
0.421,0.505,0.0,0.427,0.508
0.422,0.508,0.0,0.421,0.505
0.427,0.517,0.0,0.422,0.508
0.412,0.527,0.0,0.427,0.517
0.411,0.504,0.0,0.412,0.527
0.399,0.5,0.0,0.411,0.504
0.403,0.504,0.0,0.399,0.5
0.397,0.517,0.0,0.403,0.504
0.389,0.506,0.0,0.397,0.517
0.386,0.502,0.0,0.389,0.506
0.405,0.514,0.0,0.386,0.502
0.413,0.504,0.0,0.405,0.514
0.409,0.5,0.0,0.413,0.504
0.411,0.5,0.0,0.409,0.5
0.413,0.508,0.0,0.411,0.5
0.415,0.516,0.0,0.413,0.508
0.418,0.524,0.0,0.415,0.516
0.419,0.514,0.0,0.418,0.524
0.434,0.526,0.0,0.419,0.514
0.428,0.523,0.0,0.434,0.526
0.434,0.533,0.0,0.428,0.523
0.424,0.535,0.0,0.434,0.533
0.422,0.531,0.0,0.424,0.535
0.42,0.534,0.0,0.422,0.531
0.411,0.53,0.0,0.42,0.534
0.414,0.528,0.0,0.411,0.53
0.412,0.521,0.0,0.414,0.528
0.415,0.521,0.0,0.412,0.521
0.418,0.505,0.0,0.415,0.521
0.42,0.511,0.0,0.418,0.505
0.43,0.515,0.0,0.42,0.511
0.418,0.508,0.0,0.43,0.515
0.423,0.514,0.0,0.418,0.508
0.428,0.509,0.0,0.423,0.514
0.425,0.513,0.0,0.428,0.509
0.413,0.515,0.0,0.425,0.513
0.418,0.516,0.0,0.413,0.515
0.437,0.513,0.0,0.418,0.516
0.436,0.517,0.0,0.437,0.513
0.427,0.523,0.0,0.436,0.517
0.425,0.528,0.0,0.427,0.523
0.416,0.519,0.0,0.425,0.528
0.427,0.534,0.0,0.416,0.519
0.43,0.56,0.0,0.427,0.534
0.414,0.533,0.0,0.43,0.56
0.415,0.534,0.0,0.414,0.533
0.413,0.553,0.0,0.415,0.534
0.423,0.539,0.0,0.413,0.553
0.434,0.542,0.0,0.423,0.539
0.422,0.545,0.0,0.434,0.542
0.42,0.562,0.0,0.422,0.545
0.432,0.559,0.0,0.42,0.562
0.429,0.56,0.0,0.432,0.559
0.434,0.545,0.0,0.429,0.56
0.426,0.528,0.0,0.434,0.545
0.427,0.521,0.0,0.426,0.528
0.45,0.519,0.0,0.427,0.521
0.442,0.515,0.0,0.45,0.519
0.435,0.517,0.0,0.442,0.515
0.437,0.516,0.0,0.435,0.517
0.43,0.517,0.0,0.437,0.516
0.428,0.514,0.0,0.43,0.517
0.423,0.522,0.0,0.428,0.514
0.434,0.522,0.0,0.423,0.522
0.42,0.522,0.0,0.434,0.522
0.41,0.54,0.0,0.42,0.522
0.417,0.532,0.0,0.41,0.54
0.417,0.522,0.0,0.417,0.532
0.415,0.517,0.0,0.417,0.522
0.415,0.524,0.0,0.415,0.517
0.412,0.506,0.0,0.415,0.524
0.403,0.505,0.0,0.412,0.506
0.435,0.507,0.0,0.403,0.505
0.436,0.512,0.0,0.435,0.507
0.439,0.517,0.0,0.436,0.512
0.424,0.532,0.0,0.439,0.517
0.431,0.527,0.0,0.424,0.532
0.437,0.533,0.0,0.431,0.527
0.439,0.53,0.0,0.437,0.533
0.432,0.52,0.0,0.439,0.53
0.43,0.522,0.0,0.432,0.52
0.436,0.519,0.0,0.43,0.522
0.43,0.519,0.0,0.436,0.519
0.426,0.519,0.0,0.43,0.519
0.436,0.544,0.0,0.426,0.519
0.43,0.538,0.0,0.436,0.544
0.42,0.539,0.0,0.43,0.538
0.436,0.534,0.0,0.42,0.539
0.417,0.521,0.0,0.436,0.534
0.43,0.535,0.0,0.417,0.521
0.428,0.545,0.0,0.43,0.535
0.416,0.54,1.0,0.428,0.545
0.43,0.541,1.0,0.416,0.54
0.439,0.528,0.0,0.43,0.541
0.448,0.538,0.0,0.439,0.528
0.43,0.528,0.0,0.448,0.538
0.438,0.53,0.0,0.43,0.528
0.432,0.522,0.0,0.438,0.53
0.436,0.521,0.0,0.432,0.522
0.424,0.528,0.0,0.436,0.521
0.428,0.514,0.0,0.424,0.528
0.423,0.519,0.0,0.428,0.514
0.43,0.525,0.0,0.423,0.519
0.422,0.519,0.0,0.43,0.525
0.42,0.509,0.0,0.422,0.519
0.417,0.514,0.0,0.42,0.509
0.418,0.518,0.0,0.417,0.514
0.425,0.523,0.0,0.418,0.518
0.433,0.526,0.0,0.425,0.523
0.44,0.523,0.0,0.433,0.526
0.458,0.525,0.0,0.44,0.523
0.459,0.53,0.0,0.458,0.525
0.446,0.555,0.0,0.459,0.53
0.443,0.562,0.0,0.446,0.555
0.431,0.552,0.0,0.443,0.562
0.432,0.546,0.0,0.431,0.552
0.438,0.521,0.0,0.432,0.546
0.434,0.527,0.0,0.438,0.521
0.431,0.531,0.0,0.434,0.527
0.429,0.519,0.0,0.431,0.531
0.427,0.524,0.0,0.429,0.519
0.412,0.525,0.0,0.427,0.524
0.413,0.518,0.0,0.412,0.525
0.418,0.52,0.0,0.413,0.518
0.432,0.508,0.0,0.418,0.52
0.438,0.516,0.0,0.432,0.508
0.44,0.534,0.0,0.438,0.516
0.423,0.526,1.0,0.44,0.534
0.425,0.533,2.0,0.423,0.526
0.415,0.522,1.0,0.425,0.533
0.414,0.525,0.0,0.415,0.522
0.424,0.532,0.0,0.414,0.525
0.422,0.548,0.0,0.424,0.532
0.431,0.531,0.0,0.422,0.548
0.443,0.543,0.0,0.431,0.531
0.446,0.52,0.0,0.443,0.543
0.458,0.528,0.0,0.446,0.52
0.444,0.515,0.0,0.458,0.528
0.433,0.523,0.0,0.444,0.515
0.426,0.504,0.0,0.433,0.523
0.433,0.523,0.0,0.426,0.504
0.43,0.528,0.0,0.433,0.523
0.425,0.521,0.0,0.43,0.528
0.417,0.524,0.0,0.425,0.521
0.414,0.517,0.0,0.417,0.524
0.422,0.498,0.0,0.414,0.517
0.419,0.505,0.0,0.422,0.498
0.434,0.511,0.0,0.419,0.505
0.437,0.53,0.0,0.434,0.511
0.436,0.535,0.0,0.437,0.53
0.431,0.524,0.0,0.436,0.535
0.438,0.515,0.0,0.431,0.524
0.444,0.516,0.0,0.438,0.515
0.431,0.534,0.0,0.444,0.516
0.423,0.527,0.0,0.431,0.534
0.424,0.534,0.0,0.423,0.527
0.424,0.53,0.0,0.424,0.534
0.423,0.534,0.0,0.424,0.53
0.422,0.554,0.0,0.423,0.534
0.42,0.551,0.0,0.422,0.554
0.42,0.557,0.0,0.42,0.551
0.418,0.552,0.0,0.42,0.557
0.424,0.544,0.0,0.418,0.552
0.419,0.552,0.0,0.424,0.544
0.422,0.546,0.0,0.419,0.552
0.412,0.55,0.0,0.422,0.546
0.415,0.525,0.0,0.412,0.55
0.419,0.516,0.0,0.415,0.525
0.413,0.515,0.0,0.419,0.516
0.418,0.527,0.0,0.413,0.515
0.414,0.546,0.0,0.418,0.527
0.408,0.543,0.0,0.414,0.546
0.414,0.544,0.0,0.408,0.543
0.41,0.541,0.0,0.414,0.544
0.406,0.538,0.0,0.41,0.541
0.414,0.527,0.0,0.406,0.538
0.408,0.529,0.0,0.414,0.527
0.394,0.527,0.0,0.408,0.529
0.396,0.52,0.0,0.394,0.527
0.407,0.519,0.0,0.396,0.52
0.399,0.513,0.0,0.407,0.519
0.404,0.501,0.0,0.399,0.513
0.417,0.508,0.0,0.404,0.501
0.41,0.505,0.0,0.417,0.508
0.415,0.503,0.0,0.41,0.505
0.421,0.511,0.0,0.415,0.503
0.424,0.519,0.0,0.421,0.511
0.409,0.514,0.0,0.424,0.519
0.396,0.503,0.0,0.409,0.514
0.401,0.494,0.0,0.396,0.503
0.406,0.508,0.0,0.401,0.494
0.403,0.503,0.0,0.406,0.508
0.423,0.514,0.0,0.403,0.503
0.43,0.513,0.0,0.423,0.514
0.432,0.518,0.0,0.43,0.513
0.456,0.517,0.0,0.432,0.518
0.469,0.522,0.0,0.456,0.517
0.462,0.519,0.0,0.469,0.522
0.465,0.526,0.0,0.462,0.519
0.458,0.527,0.0,0.465,0.526
0.448,0.528,0.0,0.458,0.527
0.443,0.53,0.0,0.448,0.528
0.424,0.531,0.0,0.443,0.53
0.417,0.523,0.0,0.424,0.531
0.415,0.522,0.0,0.417,0.523
0.424,0.519,0.0,0.415,0.522
0.414,0.524,0.0,0.424,0.519
0.414,0.524,0.0,0.414,0.524
0.418,0.544,0.0,0.414,0.524
0.415,0.532,0.0,0.418,0.544
0.409,0.535,0.0,0.415,0.532
0.417,0.529,0.0,0.409,0.535
0.409,0.533,0.0,0.417,0.529
0.422,0.538,0.0,0.409,0.533
0.424,0.526,0.0,0.422,0.538
0.446,0.539,0.0,0.424,0.526
0.436,0.528,0.0,0.446,0.539
0.442,0.529,0.0,0.436,0.528
0.441,0.525,0.0,0.442,0.529
0.438,0.522,0.0,0.441,0.525
0.433,0.525,0.0,0.438,0.522
0.426,0.529,0.0,0.433,0.525
0.417,0.541,0.0,0.426,0.529
0.415,0.531,0.0,0.417,0.541
0.417,0.52,0.0,0.415,0.531
0.419,0.519,0.0,0.417,0.52
0.414,0.525,0.0,0.419,0.519
0.415,0.527,0.0,0.414,0.525
0.427,0.539,0.0,0.415,0.527
0.42,0.55,0.0,0.427,0.539
0.433,0.548,0.0,0.42,0.55
0.432,0.559,0.0,0.433,0.548
0.434,0.559,0.0,0.432,0.559
0.426,0.566,0.0,0.434,0.559
0.422,0.548,0.0,0.426,0.566
0.41,0.538,1.0,0.422,0.548
0.415,0.537,0.0,0.41,0.538
0.418,0.532,0.0,0.415,0.537
0.424,0.528,0.0,0.418,0.532
0.415,0.54,0.0,0.424,0.528
0.413,0.546,0.0,0.415,0.54
0.413,0.537,0.0,0.413,0.546
0.417,0.538,0.0,0.413,0.537
0.423,0.55,0.0,0.417,0.538
0.434,0.551,0.0,0.423,0.55
0.412,0.538,0.0,0.434,0.551
0.414,0.53,0.0,0.412,0.538
0.414,0.52,0.0,0.414,0.53
0.428,0.525,0.0,0.414,0.52
0.417,0.533,0.0,0.428,0.525
0.41,0.518,0.0,0.417,0.533
0.401,0.528,0.0,0.41,0.518
0.4,0.51,0.0,0.401,0.528
0.4,0.503,0.0,0.4,0.51
0.399,0.507,0.0,0.4,0.503
0.406,0.507,0.0,0.399,0.507
0.41,0.517,0.0,0.406,0.507
0.424,0.545,0.0,0.41,0.517
0.426,0.559,1.0,0.424,0.545
0.429,0.568,1.0,0.426,0.559
0.43,0.589,1.0,0.429,0.568
0.438,0.571,1.0,0.43,0.589
0.446,0.582,2.0,0.438,0.571
0.449,0.579,1.0,0.446,0.582
0.457,0.584,2.0,0.449,0.579
0.462,0.592,2.0,0.457,0.584
0.457,0.596,2.0,0.462,0.592
0.447,0.596,2.0,0.457,0.596
0.444,0.597,2.0,0.447,0.596
0.448,0.588,1.0,0.444,0.597
0.443,0.593,1.0,0.448,0.588
0.45,0.592,1.0,0.443,0.593
0.458,0.59,1.0,0.45,0.592
0.447,0.586,1.0,0.458,0.59
0.455,0.578,1.0,0.447,0.586
0.461,0.56,1.0,0.455,0.578
0.456,0.572,2.0,0.461,0.56
0.461,0.578,2.0,0.456,0.572
0.449,0.568,1.0,0.461,0.578
0.456,0.584,1.0,0.449,0.568
0.454,0.572,0.0,0.456,0.584
0.443,0.576,0.0,0.454,0.572
0.453,0.573,0.0,0.443,0.576
0.46,0.573,0.0,0.453,0.573
0.463,0.582,1.0,0.46,0.573
0.455,0.581,0.0,0.463,0.582
0.472,0.568,0.0,0.455,0.581
0.467,0.579,0.0,0.472,0.568
0.481,0.582,1.0,0.467,0.579
0.492,0.582,1.0,0.481,0.582
0.508,0.598,1.0,0.492,0.582
0.494,0.6,2.0,0.508,0.598
0.495,0.595,1.0,0.494,0.6
0.498,0.577,2.0,0.495,0.595
0.491,0.583,2.0,0.498,0.577
0.478,0.579,2.0,0.491,0.583
0.469,0.576,0.0,0.478,0.579
0.469,0.578,1.0,0.469,0.576
0.464,0.585,0.0,0.469,0.578
0.468,0.596,1.0,0.464,0.585
0.477,0.585,1.0,0.468,0.596
0.472,0.577,1.0,0.477,0.585
0.468,0.576,0.0,0.472,0.577
0.462,0.565,1.0,0.468,0.576
0.46,0.568,1.0,0.462,0.565
0.453,0.562,1.0,0.46,0.568
0.463,0.576,0.0,0.453,0.562
0.46,0.578,0.0,0.463,0.576
0.454,0.575,0.0,0.46,0.578
0.449,0.566,1.0,0.454,0.575
0.444,0.555,2.0,0.449,0.566
0.446,0.558,2.0,0.444,0.555
0.459,0.561,2.0,0.446,0.558
0.451,0.562,0.0,0.459,0.561
0.454,0.567,0.0,0.451,0.562
0.453,0.564,0.0,0.454,0.567
0.458,0.56,0.0,0.453,0.564
0.467,0.558,0.0,0.458,0.56
0.484,0.559,0.0,0.467,0.558
0.472,0.563,1.0,0.484,0.559
0.484,0.569,0.0,0.472,0.563
0.492,0.579,0.0,0.484,0.569
0.486,0.579,1.0,0.492,0.579
0.499,0.559,1.0,0.486,0.579
0.476,0.566,2.0,0.499,0.559
0.469,0.567,1.0,0.476,0.566
0.478,0.571,2.0,0.469,0.567
0.471,0.578,0.0,0.478,0.571
0.472,0.581,0.0,0.471,0.578
0.446,0.586,0.0,0.472,0.581
0.446,0.581,0.0,0.446,0.586
0.452,0.598,0.0,0.446,0.581
0.437,0.579,0.0,0.452,0.598
0.439,0.583,0.0,0.437,0.579
0.443,0.58,0.0,0.439,0.583
0.45,0.586,1.0,0.443,0.58
0.447,0.582,0.0,0.45,0.586
0.448,0.58,1.0,0.447,0.582
0.438,0.576,1.0,0.448,0.58
0.438,0.567,1.0,0.438,0.576
0.445,0.564,1.0,0.438,0.567
0.444,0.556,2.0,0.445,0.564
0.448,0.558,2.0,0.444,0.556
0.444,0.552,2.0,0.448,0.558
0.452,0.558,0.0,0.444,0.552
0.452,0.557,0.0,0.452,0.558
0.461,0.557,1.0,0.452,0.557
0.461,0.567,0.0,0.461,0.557
0.469,0.572,0.0,0.461,0.567
0.471,0.569,0.0,0.469,0.572
0.472,0.577,0.0,0.471,0.569
0.49,0.584,0.0,0.472,0.577
0.485,0.596,1.0,0.49,0.584
0.492,0.579,0.0,0.485,0.596
0.492,0.586,0.0,0.492,0.579
0.461,0.601,0.0,0.492,0.586
0.449,0.6,0.0,0.461,0.601
0.456,0.603,0.0,0.449,0.6
0.463,0.587,1.0,0.456,0.603
0.463,0.591,1.0,0.463,0.587
0.462,0.585,1.0,0.463,0.591
0.456,0.591,1.0,0.462,0.585
0.46,0.59,1.0,0.456,0.591
0.464,0.588,1.0,0.46,0.59
0.474,0.59,1.0,0.464,0.588
0.48,0.585,1.0,0.474,0.59
0.481,0.574,0.0,0.48,0.585
0.463,0.575,0.0,0.481,0.574
0.476,0.596,0.0,0.463,0.575
0.468,0.589,0.0,0.476,0.596
0.466,0.584,1.0,0.468,0.589
0.463,0.577,1.0,0.466,0.584
0.459,0.574,1.0,0.463,0.577
0.466,0.577,0.0,0.459,0.574
0.484,0.589,0.0,0.466,0.577
0.472,0.587,0.0,0.484,0.589
0.469,0.591,0.0,0.472,0.587
0.473,0.584,0.0,0.469,0.591
0.464,0.58,0.0,0.473,0.584
0.471,0.57,0.0,0.464,0.58
0.479,0.56,0.0,0.471,0.57
0.489,0.563,0.0,0.479,0.56
0.473,0.559,0.0,0.489,0.563
0.477,0.554,0.0,0.473,0.559
0.465,0.562,0.0,0.477,0.554
0.465,0.577,0.0,0.465,0.562
0.451,0.577,0.0,0.465,0.577
0.445,0.589,0.0,0.451,0.577
0.459,0.584,0.0,0.445,0.589
0.44,0.588,0.0,0.459,0.584
0.441,0.594,0.0,0.44,0.588
0.451,0.58,0.0,0.441,0.594
0.442,0.573,0.0,0.451,0.58
0.444,0.564,1.0,0.442,0.573
0.439,0.579,0.0,0.444,0.564
0.445,0.578,1.0,0.439,0.579
0.453,0.583,0.0,0.445,0.578
0.45,0.602,1.0,0.453,0.583
0.449,0.585,1.0,0.45,0.602
0.454,0.556,1.0,0.449,0.585
0.448,0.558,0.0,0.454,0.556
0.461,0.56,0.0,0.448,0.558
0.464,0.578,0.0,0.461,0.56
0.445,0.573,0.0,0.464,0.578
0.448,0.569,0.0,0.445,0.573
0.456,0.569,0.0,0.448,0.569
0.469,0.564,0.0,0.456,0.569
0.472,0.578,2.0,0.469,0.564
0.465,0.561,1.0,0.472,0.578
0.466,0.563,2.0,0.465,0.561
0.453,0.57,1.0,0.466,0.563
0.45,0.574,2.0,0.453,0.57
0.45,0.567,1.0,0.45,0.574
0.453,0.575,1.0,0.45,0.567
0.452,0.576,1.0,0.453,0.575
0.457,0.573,2.0,0.452,0.576
0.475,0.565,2.0,0.457,0.573
0.483,0.568,0.0,0.475,0.565
0.482,0.58,1.0,0.483,0.568
0.473,0.572,1.0,0.482,0.58
0.47,0.582,1.0,0.473,0.572
0.464,0.582,0.0,0.47,0.582
0.456,0.569,0.0,0.464,0.582
0.459,0.574,0.0,0.456,0.569
0.465,0.562,0.0,0.459,0.574
0.453,0.567,0.0,0.465,0.562
0.442,0.571,1.0,0.453,0.567
0.448,0.555,1.0,0.442,0.571
0.463,0.569,0.0,0.448,0.555
0.458,0.567,0.0,0.463,0.569
0.46,0.572,0.0,0.458,0.567
0.456,0.567,1.0,0.46,0.572
0.462,0.555,0.0,0.456,0.567
0.477,0.575,1.0,0.462,0.555
0.47,0.578,0.0,0.477,0.575
0.471,0.564,0.0,0.47,0.578
0.461,0.567,1.0,0.471,0.564
0.452,0.568,0.0,0.461,0.567
0.462,0.577,1.0,0.452,0.568
0.461,0.574,1.0,0.462,0.577
0.446,0.59,1.0,0.461,0.574
0.444,0.596,0.0,0.446,0.59
0.462,0.594,0.0,0.444,0.596
0.467,0.592,0.0,0.462,0.594
0.46,0.59,0.0,0.467,0.592
0.466,0.59,0.0,0.46,0.59
0.453,0.57,0.0,0.466,0.59
0.45,0.561,0.0,0.453,0.57
0.457,0.567,0.0,0.45,0.561
