90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.409,0.519,0.0,0.418,0.509
0.41,0.508,0.0,0.409,0.519
0.412,0.503,0.0,0.41,0.508
0.418,0.497,0.0,0.412,0.503
0.4,0.503,0.0,0.418,0.497
0.402,0.496,0.0,0.4,0.503
0.41,0.496,0.0,0.402,0.496
0.424,0.518,0.0,0.41,0.496
0.421,0.526,0.0,0.424,0.518
0.416,0.52,0.0,0.421,0.526
0.419,0.53,0.0,0.416,0.52
0.425,0.538,0.0,0.419,0.53
0.427,0.537,0.0,0.425,0.538
0.431,0.532,0.0,0.427,0.537
0.421,0.515,0.0,0.431,0.532
0.416,0.505,0.0,0.421,0.515
0.42,0.509,0.0,0.416,0.505
0.421,0.51,0.0,0.42,0.509
0.412,0.508,0.0,0.421,0.51
0.411,0.505,0.0,0.412,0.508
0.417,0.51,0.0,0.411,0.505
0.43,0.508,0.0,0.417,0.51
0.418,0.524,0.0,0.43,0.508
0.419,0.504,0.0,0.418,0.524
0.414,0.541,0.0,0.419,0.504
0.414,0.53,0.0,0.414,0.541
0.416,0.529,0.0,0.414,0.53
0.425,0.52,0.0,0.416,0.529
0.427,0.5,0.0,0.425,0.52
0.419,0.507,0.0,0.427,0.5
0.407,0.51,0.0,0.419,0.507
0.409,0.519,0.0,0.407,0.51
0.412,0.53,0.0,0.409,0.519
0.414,0.519,0.0,0.412,0.53
0.42,0.517,0.0,0.414,0.519
0.416,0.52,0.0,0.42,0.517
0.41,0.524,1.0,0.416,0.52
0.419,0.532,0.0,0.41,0.524
0.418,0.524,0.0,0.419,0.532
0.43,0.522,0.0,0.418,0.524
0.456,0.525,0.0,0.43,0.522
0.464,0.515,0.0,0.456,0.525
0.473,0.521,0.0,0.464,0.515
0.455,0.521,0.0,0.473,0.521
0.446,0.505,0.0,0.455,0.521
0.46,0.512,0.0,0.446,0.505
