3cc39f92-e725-4db2-ad28-da3438ddc495_(t),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t-1),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t-1)
0.316,0.42,1.0,0.321,0.431
0.31,0.42,1.0,0.316,0.42
0.308,0.431,1.0,0.31,0.42
0.307,0.424,1.0,0.308,0.431
0.331,0.42,1.0,0.307,0.424
0.331,0.434,1.0,0.331,0.42
0.332,0.437,1.0,0.331,0.434
0.339,0.457,1.0,0.332,0.437
0.335,0.455,1.0,0.339,0.457
0.342,0.465,1.0,0.335,0.455
0.343,0.459,1.0,0.342,0.465
0.337,0.451,1.0,0.343,0.459
0.332,0.449,1.0,0.337,0.451
0.326,0.442,1.0,0.332,0.449
0.332,0.441,1.0,0.326,0.442
0.335,0.452,1.0,0.332,0.441
0.326,0.449,1.0,0.335,0.452
0.328,0.442,1.0,0.326,0.449
0.333,0.448,1.0,0.328,0.442
0.332,0.437,0.0,0.333,0.448
0.326,0.426,1.0,0.332,0.437
0.327,0.456,1.0,0.326,0.426
0.326,0.453,1.0,0.327,0.456
0.337,0.456,1.0,0.326,0.453
0.346,0.472,1.0,0.337,0.456
0.359,0.47,2.0,0.346,0.472
0.367,0.474,2.0,0.359,0.47
0.369,0.48,2.0,0.367,0.474
0.376,0.481,2.0,0.369,0.48
0.373,0.479,2.0,0.376,0.481
0.373,0.484,2.0,0.373,0.479
0.348,0.49,2.0,0.373,0.484
0.345,0.477,2.0,0.348,0.49
0.361,0.488,2.0,0.345,0.477
0.372,0.482,2.0,0.361,0.488
0.363,0.488,2.0,0.372,0.482
0.37,0.504,2.0,0.363,0.488
0.347,0.567,2.0,0.37,0.504
0.349,0.568,2.0,0.347,0.567
0.345,0.565,2.0,0.349,0.568
0.351,0.564,2.0,0.345,0.565
0.353,0.545,2.0,0.351,0.564
0.352,0.543,2.0,0.353,0.545
0.351,0.553,2.0,0.352,0.543
0.343,0.54,1.0,0.351,0.553
0.34,0.577,1.0,0.343,0.54
0.339,0.563,1.0,0.34,0.577
0.343,0.499,1.0,0.339,0.563
0.326,0.496,1.0,0.343,0.499
0.34,0.495,2.0,0.326,0.496
0.345,0.483,1.0,0.34,0.495
0.329,0.481,1.0,0.345,0.483
0.332,0.486,1.0,0.329,0.481
0.325,0.464,1.0,0.332,0.486
0.339,0.457,1.0,0.325,0.464
0.34,0.428,1.0,0.339,0.457
0.334,0.416,1.0,0.34,0.428
0.327,0.422,1.0,0.334,0.416
0.323,0.41,1.0,0.327,0.422
0.315,0.398,0.0,0.323,0.41
0.309,0.417,0.0,0.315,0.398
0.313,0.425,1.0,0.309,0.417
0.305,0.43,1.0,0.313,0.425
0.303,0.436,1.0,0.305,0.43
0.307,0.456,1.0,0.303,0.436
0.301,0.459,1.0,0.307,0.456
0.303,0.45,1.0,0.301,0.459
0.3,0.434,1.0,0.303,0.45
0.302,0.454,1.0,0.3,0.434
0.308,0.478,1.0,0.302,0.454
0.326,0.468,1.0,0.308,0.478
0.321,0.448,1.0,0.326,0.468
0.318,0.462,0.0,0.321,0.448
0.323,0.445,0.0,0.318,0.462
0.321,0.437,0.0,0.323,0.445
0.322,0.437,0.0,0.321,0.437
0.312,0.448,0.0,0.322,0.437
0.307,0.446,0.0,0.312,0.448
0.3,0.429,0.0,0.307,0.446
0.307,0.413,0.0,0.3,0.429
0.312,0.42,0.0,0.307,0.413
0.318,0.427,1.0,0.312,0.42
0.306,0.426,1.0,0.318,0.427
0.304,0.417,1.0,0.306,0.426
0.313,0.417,1.0,0.304,0.417
0.308,0.415,1.0,0.313,0.417
0.304,0.41,1.0,0.308,0.415
0.301,0.403,1.0,0.304,0.41
0.3,0.427,0.0,0.301,0.403
0.302,0.426,0.0,0.3,0.427
0.299,0.418,0.0,0.302,0.426
0.303,0.414,0.0,0.299,0.418
0.301,0.404,0.0,0.303,0.414
0.3,0.415,0.0,0.301,0.404
0.306,0.412,0.0,0.3,0.415
0.304,0.429,0.0,0.306,0.412
0.313,0.442,0.0,0.304,0.429
0.318,0.442,0.0,0.313,0.442
0.317,0.431,0.0,0.318,0.442
0.313,0.427,0.0,0.317,0.431
0.31,0.443,1.0,0.313,0.427
0.309,0.438,1.0,0.31,0.443
0.306,0.441,1.0,0.309,0.438
0.306,0.443,1.0,0.306,0.441
0.303,0.435,0.0,0.306,0.443
0.317,0.437,0.0,0.303,0.435
0.304,0.436,0.0,0.317,0.437
0.311,0.443,0.0,0.304,0.436
0.323,0.432,0.0,0.311,0.443
0.313,0.439,0.0,0.323,0.432
0.316,0.428,0.0,0.313,0.439
0.314,0.433,1.0,0.316,0.428
0.313,0.432,1.0,0.314,0.433
0.315,0.423,1.0,0.313,0.432
0.307,0.424,0.0,0.315,0.423
0.315,0.432,0.0,0.307,0.424
0.314,0.421,0.0,0.315,0.432
0.32,0.415,0.0,0.314,0.421
0.311,0.416,0.0,0.32,0.415
0.311,0.422,0.0,0.311,0.416
0.318,0.419,0.0,0.311,0.422
0.316,0.433,0.0,0.318,0.419
0.313,0.447,0.0,0.316,0.433
0.327,0.454,1.0,0.313,0.447
0.311,0.453,1.0,0.327,0.454
0.313,0.435,0.0,0.311,0.453
0.32,0.435,0.0,0.313,0.435
0.319,0.424,0.0,0.32,0.435
0.322,0.422,0.0,0.319,0.424
0.333,0.421,0.0,0.322,0.422
0.317,0.426,0.0,0.333,0.421
0.324,0.434,0.0,0.317,0.426
0.324,0.413,0.0,0.324,0.434
0.32,0.431,0.0,0.324,0.413
0.323,0.422,0.0,0.32,0.431
0.32,0.44,0.0,0.323,0.422
0.31,0.452,0.0,0.32,0.44
0.307,0.468,0.0,0.31,0.452
0.306,0.469,0.0,0.307,0.468
0.299,0.471,0.0,0.306,0.469
0.298,0.462,0.0,0.299,0.471
0.298,0.453,0.0,0.298,0.462
0.296,0.456,0.0,0.298,0.453
0.296,0.438,0.0,0.296,0.456
0.291,0.442,0.0,0.296,0.438
0.304,0.44,0.0,0.291,0.442
0.305,0.423,0.0,0.304,0.44
0.3,0.422,0.0,0.305,0.423
0.297,0.421,0.0,0.3,0.422
0.295,0.422,0.0,0.297,0.421
0.289,0.424,0.0,0.295,0.422
0.291,0.437,0.0,0.289,0.424
0.298,0.437,0.0,0.291,0.437
0.299,0.452,0.0,0.298,0.437
0.303,0.45,0.0,0.299,0.452
0.311,0.457,0.0,0.303,0.45
0.304,0.461,0.0,0.311,0.457
0.292,0.458,0.0,0.304,0.461
0.301,0.444,0.0,0.292,0.458
0.294,0.431,0.0,0.301,0.444
0.301,0.439,0.0,0.294,0.431
0.298,0.434,0.0,0.301,0.439
0.3,0.43,0.0,0.298,0.434
0.299,0.432,0.0,0.3,0.43
0.298,0.422,0.0,0.299,0.432
0.302,0.411,0.0,0.298,0.422
0.313,0.411,0.0,0.302,0.411
0.317,0.417,0.0,0.313,0.411
0.308,0.423,0.0,0.317,0.417
0.307,0.422,0.0,0.308,0.423
0.313,0.419,1.0,0.307,0.422
0.314,0.428,0.0,0.313,0.419
0.303,0.43,0.0,0.314,0.428
0.312,0.425,0.0,0.303,0.43
0.304,0.41,0.0,0.312,0.425
0.311,0.412,0.0,0.304,0.41
0.315,0.406,0.0,0.311,0.412
0.307,0.418,0.0,0.315,0.406
0.314,0.433,0.0,0.307,0.418
0.311,0.436,0.0,0.314,0.433
0.304,0.428,0.0,0.311,0.436
0.305,0.424,0.0,0.304,0.428
0.305,0.41,1.0,0.305,0.424
0.293,0.417,1.0,0.305,0.41
0.297,0.424,1.0,0.293,0.417
0.314,0.426,1.0,0.297,0.424
0.322,0.431,1.0,0.314,0.426
0.329,0.424,1.0,0.322,0.431
0.314,0.439,1.0,0.329,0.424
0.32,0.444,1.0,0.314,0.439
0.316,0.446,1.0,0.32,0.444
0.309,0.446,1.0,0.316,0.446
0.304,0.46,1.0,0.309,0.446
0.301,0.462,1.0,0.304,0.46
0.311,0.455,1.0,0.301,0.462
0.308,0.456,0.0,0.311,0.455
0.304,0.456,0.0,0.308,0.456
0.301,0.448,0.0,0.304,0.456
0.299,0.43,0.0,0.301,0.448
0.304,0.422,0.0,0.299,0.43
0.315,0.4,0.0,0.304,0.422
0.63,0.555,2.0,0.315,0.4
0.644,0.632,2.0,0.63,0.555
0.659,0.657,2.0,0.644,0.632
0.66,0.663,2.0,0.659,0.657
0.66,0.66,2.0,0.66,0.663
0.648,0.657,2.0,0.66,0.66
0.657,0.666,2.0,0.648,0.657
0.647,0.664,2.0,0.657,0.666
0.644,0.643,2.0,0.647,0.664
0.642,0.639,2.0,0.644,0.643
0.65,0.66,2.0,0.642,0.639
0.293,0.412,0.0,0.65,0.66
0.283,0.416,0.0,0.293,0.412
0.299,0.418,0.0,0.283,0.416
0.298,0.415,0.0,0.299,0.418
0.298,0.398,0.0,0.298,0.415
0.296,0.401,0.0,0.298,0.398
0.291,0.395,0.0,0.296,0.401
0.31,0.399,0.0,0.291,0.395
0.306,0.4,0.0,0.31,0.399
0.3,0.399,0.0,0.306,0.4
0.297,0.394,0.0,0.3,0.399
0.292,0.392,0.0,0.297,0.394
0.289,0.393,0.0,0.292,0.392
0.286,0.39,0.0,0.289,0.393
0.288,0.4,0.0,0.286,0.39
0.284,0.391,0.0,0.288,0.4
0.29,0.4,0.0,0.284,0.391
0.284,0.396,0.0,0.29,0.4
0.283,0.401,0.0,0.284,0.396
0.283,0.394,0.0,0.283,0.401
0.276,0.399,0.0,0.283,0.394
0.276,0.398,0.0,0.276,0.399
0.279,0.408,0.0,0.276,0.398
0.269,0.412,0.0,0.279,0.408
0.267,0.405,0.0,0.269,0.412
0.27,0.408,0.0,0.267,0.405
0.273,0.406,0.0,0.27,0.408
0.271,0.403,0.0,0.273,0.406
0.261,0.408,0.0,0.271,0.403
0.269,0.404,0.0,0.261,0.408
0.277,0.407,0.0,0.269,0.404
0.276,0.416,0.0,0.277,0.407
0.278,0.408,0.0,0.276,0.416
0.273,0.413,0.0,0.278,0.408
0.273,0.418,0.0,0.273,0.413
0.276,0.439,0.0,0.273,0.418
0.281,0.436,0.0,0.276,0.439
0.278,0.441,0.0,0.281,0.436
0.285,0.446,0.0,0.278,0.441
0.293,0.456,0.0,0.285,0.446
0.286,0.46,0.0,0.293,0.456
0.293,0.457,0.0,0.286,0.46
0.299,0.462,0.0,0.293,0.457
0.283,0.453,0.0,0.299,0.462
0.289,0.448,0.0,0.283,0.453
0.288,0.435,0.0,0.289,0.448
0.294,0.434,0.0,0.288,0.435
0.287,0.433,0.0,0.294,0.434
0.285,0.428,0.0,0.287,0.433
0.282,0.429,0.0,0.285,0.428
0.289,0.43,0.0,0.282,0.429
0.29,0.428,0.0,0.289,0.43
0.277,0.433,0.0,0.29,0.428
0.286,0.431,0.0,0.277,0.433
0.288,0.444,0.0,0.286,0.431
0.291,0.446,0.0,0.288,0.444
0.298,0.446,0.0,0.291,0.446
0.292,0.454,0.0,0.298,0.446
0.288,0.463,0.0,0.292,0.454
0.283,0.473,0.0,0.288,0.463
0.282,0.461,0.0,0.283,0.473
0.287,0.462,0.0,0.282,0.461
0.294,0.453,0.0,0.287,0.462
0.291,0.457,0.0,0.294,0.453
0.291,0.448,0.0,0.291,0.457
0.303,0.445,0.0,0.291,0.448
0.297,0.433,0.0,0.303,0.445
0.289,0.42,0.0,0.297,0.433
0.293,0.419,0.0,0.289,0.42
0.3,0.409,0.0,0.293,0.419
0.302,0.411,0.0,0.3,0.409
0.305,0.411,0.0,0.302,0.411
0.305,0.413,0.0,0.305,0.411
0.301,0.409,1.0,0.305,0.413
0.277,0.405,0.0,0.301,0.409
0.281,0.405,0.0,0.277,0.405
0.284,0.413,0.0,0.281,0.405
0.281,0.408,0.0,0.284,0.413
0.282,0.41,0.0,0.281,0.408
0.285,0.411,0.0,0.282,0.41
0.295,0.407,0.0,0.285,0.411
0.285,0.404,0.0,0.295,0.407
0.282,0.399,0.0,0.285,0.404
0.288,0.4,0.0,0.282,0.399
0.284,0.42,0.0,0.288,0.4
0.28,0.411,0.0,0.284,0.42
0.283,0.413,0.0,0.28,0.411
0.272,0.417,0.0,0.283,0.413
0.28,0.416,0.0,0.272,0.417
0.277,0.411,0.0,0.28,0.416
0.281,0.411,0.0,0.277,0.411
0.293,0.429,0.0,0.281,0.411
0.294,0.429,0.0,0.293,0.429
0.289,0.43,0.0,0.294,0.429
0.294,0.428,0.0,0.289,0.43
0.29,0.42,0.0,0.294,0.428
0.315,0.409,0.0,0.29,0.42
0.303,0.414,0.0,0.315,0.409
0.3,0.419,0.0,0.303,0.414
0.31,0.428,0.0,0.3,0.419
0.313,0.432,0.0,0.31,0.428
0.301,0.425,0.0,0.313,0.432
0.308,0.425,0.0,0.301,0.425
0.31,0.419,0.0,0.308,0.425
0.3,0.412,0.0,0.31,0.419
0.289,0.418,0.0,0.3,0.412
0.293,0.431,0.0,0.289,0.418
0.28,0.426,0.0,0.293,0.431
0.286,0.428,0.0,0.28,0.426
0.303,0.427,0.0,0.286,0.428
0.298,0.425,0.0,0.303,0.427
0.31,0.419,0.0,0.298,0.425
0.305,0.43,0.0,0.31,0.419
0.296,0.448,0.0,0.305,0.43
0.29,0.46,0.0,0.296,0.448
0.291,0.459,0.0,0.29,0.46
0.279,0.445,0.0,0.291,0.459
0.28,0.435,0.0,0.279,0.445
0.283,0.437,0.0,0.28,0.435
0.272,0.443,0.0,0.283,0.437
0.269,0.446,0.0,0.272,0.443
0.283,0.457,0.0,0.269,0.446
0.282,0.449,0.0,0.283,0.457
0.279,0.448,0.0,0.282,0.449
0.289,0.448,0.0,0.279,0.448
0.301,0.464,0.0,0.289,0.448
0.307,0.482,0.0,0.301,0.464
0.3,0.485,0.0,0.307,0.482
0.297,0.477,0.0,0.3,0.485
0.301,0.485,0.0,0.297,0.477
0.294,0.489,0.0,0.301,0.485
0.294,0.481,0.0,0.294,0.489
0.302,0.472,0.0,0.294,0.481
0.303,0.474,0.0,0.302,0.472
0.307,0.477,0.0,0.303,0.474
0.302,0.472,0.0,0.307,0.477
0.313,0.452,0.0,0.302,0.472
0.318,0.452,0.0,0.313,0.452
0.318,0.473,0.0,0.318,0.452
0.325,0.484,0.0,0.318,0.473
0.308,0.493,0.0,0.325,0.484
0.309,0.488,0.0,0.308,0.493
0.31,0.509,0.0,0.309,0.488
0.3,0.507,0.0,0.31,0.509
0.295,0.487,0.0,0.3,0.507
0.3,0.473,0.0,0.295,0.487
0.309,0.475,0.0,0.3,0.473
0.306,0.471,0.0,0.309,0.475
0.283,0.472,0.0,0.306,0.471
0.283,0.455,0.0,0.283,0.472
0.279,0.442,0.0,0.283,0.455
0.271,0.435,0.0,0.279,0.442
0.271,0.414,0.0,0.271,0.435
0.273,0.428,0.0,0.271,0.414
0.267,0.428,0.0,0.273,0.428
0.268,0.435,0.0,0.267,0.428
0.266,0.428,0.0,0.268,0.435
0.263,0.435,0.0,0.266,0.428
0.261,0.441,0.0,0.263,0.435
0.277,0.443,0.0,0.261,0.441
0.272,0.438,0.0,0.277,0.443
0.273,0.43,0.0,0.272,0.438
0.273,0.432,0.0,0.273,0.43
0.277,0.423,0.0,0.273,0.432
0.273,0.435,0.0,0.277,0.423
0.274,0.451,0.0,0.273,0.435
0.276,0.452,0.0,0.274,0.451
0.274,0.455,0.0,0.276,0.452
0.278,0.446,0.0,0.274,0.455
0.273,0.441,0.0,0.278,0.446
0.284,0.459,0.0,0.273,0.441
0.283,0.476,0.0,0.284,0.459
0.282,0.477,0.0,0.283,0.476
0.291,0.466,0.0,0.282,0.477
0.301,0.471,0.0,0.291,0.466
0.283,0.458,0.0,0.301,0.471
0.288,0.445,0.0,0.283,0.458
0.284,0.446,0.0,0.288,0.445
0.282,0.442,0.0,0.284,0.446
0.287,0.44,0.0,0.282,0.442
0.277,0.435,0.0,0.287,0.44
0.277,0.418,0.0,0.277,0.435
0.281,0.423,0.0,0.277,0.418
0.276,0.426,0.0,0.281,0.423
0.291,0.409,0.0,0.276,0.426
0.292,0.402,0.0,0.291,0.409
0.29,0.402,0.0,0.292,0.402
0.29,0.412,0.0,0.29,0.402
0.286,0.4,0.0,0.29,0.412
0.286,0.389,0.0,0.286,0.4
0.288,0.386,0.0,0.286,0.389
0.29,0.391,0.0,0.288,0.386
0.288,0.374,0.0,0.29,0.391
0.293,0.382,0.0,0.288,0.374
0.289,0.377,0.0,0.293,0.382
0.293,0.382,0.0,0.289,0.377
0.288,0.388,0.0,0.293,0.382
0.292,0.405,0.0,0.288,0.388
0.289,0.409,0.0,0.292,0.405
0.285,0.423,0.0,0.289,0.409
0.284,0.436,0.0,0.285,0.423
0.298,0.428,0.0,0.284,0.436
0.296,0.431,0.0,0.298,0.428
0.283,0.438,0.0,0.296,0.431
0.296,0.433,0.0,0.283,0.438
0.287,0.437,0.0,0.296,0.433
0.276,0.428,0.0,0.287,0.437
0.278,0.403,0.0,0.276,0.428
0.288,0.402,0.0,0.278,0.403
0.3,0.413,0.0,0.288,0.402
0.296,0.413,0.0,0.3,0.413
0.292,0.426,0.0,0.296,0.413
0.28,0.434,0.0,0.292,0.426
0.277,0.428,0.0,0.28,0.434
0.279,0.428,0.0,0.277,0.428
0.276,0.435,0.0,0.279,0.428
0.269,0.426,0.0,0.276,0.435
0.272,0.425,0.0,0.269,0.426
0.279,0.445,0.0,0.272,0.425
0.28,0.456,0.0,0.279,0.445
0.28,0.443,0.0,0.28,0.456
0.284,0.437,0.0,0.28,0.443
0.29,0.448,1.0,0.284,0.437
0.284,0.443,1.0,0.29,0.448
0.287,0.44,1.0,0.284,0.443
0.289,0.447,0.0,0.287,0.44
0.29,0.468,0.0,0.289,0.447
0.295,0.463,0.0,0.29,0.468
0.28,0.453,0.0,0.295,0.463
0.29,0.429,0.0,0.28,0.453
0.283,0.447,0.0,0.29,0.429
0.278,0.464,0.0,0.283,0.447
0.278,0.446,0.0,0.278,0.464
0.279,0.461,0.0,0.278,0.446
0.278,0.472,0.0,0.279,0.461
0.269,0.455,0.0,0.278,0.472
0.275,0.451,0.0,0.269,0.455
0.274,0.468,0.0,0.275,0.451
0.272,0.468,0.0,0.274,0.468
0.272,0.477,0.0,0.272,0.468
0.28,0.471,0.0,0.272,0.477
0.281,0.448,0.0,0.28,0.471
0.275,0.463,0.0,0.281,0.448
0.28,0.474,0.0,0.275,0.463
0.278,0.462,0.0,0.28,0.474
0.278,0.456,0.0,0.278,0.462
0.269,0.464,0.0,0.278,0.456
0.275,0.449,0.0,0.269,0.464
0.277,0.432,0.0,0.275,0.449
0.277,0.428,0.0,0.277,0.432
0.277,0.417,0.0,0.277,0.428
0.285,0.412,0.0,0.277,0.417
0.285,0.406,0.0,0.285,0.412
0.283,0.395,0.0,0.285,0.406
0.294,0.407,0.0,0.283,0.395
0.294,0.411,0.0,0.294,0.407
0.308,0.395,0.0,0.294,0.411
0.31,0.401,0.0,0.308,0.395
0.307,0.404,0.0,0.31,0.401
0.303,0.417,0.0,0.307,0.404
0.296,0.423,0.0,0.303,0.417
0.285,0.426,0.0,0.296,0.423
0.309,0.421,0.0,0.285,0.426
0.311,0.417,0.0,0.309,0.421
0.285,0.402,0.0,0.311,0.417
0.279,0.405,0.0,0.285,0.402
0.273,0.42,0.0,0.279,0.405
0.277,0.43,0.0,0.273,0.42
0.269,0.432,0.0,0.277,0.43
0.275,0.429,0.0,0.269,0.432
0.272,0.418,0.0,0.275,0.429
0.279,0.418,0.0,0.272,0.418
0.284,0.438,0.0,0.279,0.418
0.277,0.438,0.0,0.284,0.438
0.28,0.445,0.0,0.277,0.438
0.274,0.452,0.0,0.28,0.445
0.281,0.446,0.0,0.274,0.452
0.285,0.445,0.0,0.281,0.446
0.281,0.444,0.0,0.285,0.445
0.284,0.449,0.0,0.281,0.444
0.284,0.442,0.0,0.284,0.449
0.279,0.45,0.0,0.284,0.442
0.283,0.438,0.0,0.279,0.45
0.281,0.426,0.0,0.283,0.438
0.285,0.439,0.0,0.281,0.426
0.277,0.419,0.0,0.285,0.439
0.283,0.405,0.0,0.277,0.419
0.276,0.409,0.0,0.283,0.405
0.273,0.405,0.0,0.276,0.409
0.272,0.419,0.0,0.273,0.405
0.28,0.419,0.0,0.272,0.419
0.264,0.417,0.0,0.28,0.419
0.265,0.414,0.0,0.264,0.417
0.28,0.419,1.0,0.265,0.414
0.28,0.418,1.0,0.28,0.419
0.281,0.403,0.0,0.28,0.418
0.281,0.428,1.0,0.281,0.403
0.279,0.423,1.0,0.281,0.428
0.285,0.418,1.0,0.279,0.423
0.289,0.409,1.0,0.285,0.418
0.298,0.395,0.0,0.289,0.409
0.301,0.393,0.0,0.298,0.395
0.299,0.386,0.0,0.301,0.393
0.293,0.392,0.0,0.299,0.386
0.307,0.391,0.0,0.293,0.392
0.306,0.386,0.0,0.307,0.391
0.309,0.372,0.0,0.306,0.386
0.299,0.379,0.0,0.309,0.372
0.286,0.388,0.0,0.299,0.379
0.287,0.389,0.0,0.286,0.388
0.292,0.402,0.0,0.287,0.389
0.29,0.405,0.0,0.292,0.402
0.278,0.414,0.0,0.29,0.405
0.281,0.411,0.0,0.278,0.414
0.283,0.422,0.0,0.281,0.411
0.288,0.418,0.0,0.283,0.422
0.286,0.423,0.0,0.288,0.418
0.293,0.432,0.0,0.286,0.423
0.298,0.426,0.0,0.293,0.432
0.296,0.427,0.0,0.298,0.426
0.291,0.421,0.0,0.296,0.427
0.314,0.431,0.0,0.291,0.421
0.308,0.43,0.0,0.314,0.431
0.299,0.424,0.0,0.308,0.43
0.307,0.413,0.0,0.299,0.424
0.299,0.409,0.0,0.307,0.413
0.303,0.409,0.0,0.299,0.409
0.299,0.412,0.0,0.303,0.409
0.286,0.41,0.0,0.299,0.412
0.292,0.41,0.0,0.286,0.41
0.293,0.424,0.0,0.292,0.41
0.286,0.419,0.0,0.293,0.424
0.292,0.425,0.0,0.286,0.419
0.285,0.436,0.0,0.292,0.425
0.291,0.439,0.0,0.285,0.436
0.293,0.442,0.0,0.291,0.439
0.292,0.44,0.0,0.293,0.442
0.289,0.457,0.0,0.292,0.44
0.278,0.455,0.0,0.289,0.457
0.278,0.458,0.0,0.278,0.455
0.275,0.445,0.0,0.278,0.458
0.273,0.441,0.0,0.275,0.445
0.266,0.451,0.0,0.273,0.441
0.274,0.437,0.0,0.266,0.451
0.273,0.427,0.0,0.274,0.437
0.279,0.425,0.0,0.273,0.427
0.265,0.447,0.0,0.279,0.425
0.272,0.431,0.0,0.265,0.447
0.278,0.427,0.0,0.272,0.431
0.27,0.426,0.0,0.278,0.427
0.27,0.413,0.0,0.27,0.426
0.269,0.42,0.0,0.27,0.413
0.272,0.404,0.0,0.269,0.42
0.281,0.407,0.0,0.272,0.404
0.274,0.417,0.0,0.281,0.407
0.299,0.424,0.0,0.274,0.417
0.294,0.417,0.0,0.299,0.424
0.292,0.398,0.0,0.294,0.417
0.277,0.414,0.0,0.292,0.398
0.3,0.42,0.0,0.277,0.414
0.296,0.423,0.0,0.3,0.42
0.3,0.443,0.0,0.296,0.423
0.306,0.45,0.0,0.3,0.443
0.288,0.463,0.0,0.306,0.45
0.289,0.466,0.0,0.288,0.463
0.287,0.469,0.0,0.289,0.466
0.285,0.474,0.0,0.287,0.469
0.289,0.479,0.0,0.285,0.474
0.286,0.471,0.0,0.289,0.479
0.288,0.467,0.0,0.286,0.471
0.287,0.489,0.0,0.288,0.467
0.276,0.483,0.0,0.287,0.489
0.28,0.49,0.0,0.276,0.483
0.28,0.473,0.0,0.28,0.49
0.287,0.47,0.0,0.28,0.473
0.29,0.468,0.0,0.287,0.47
0.288,0.465,0.0,0.29,0.468
0.281,0.45,0.0,0.288,0.465
0.286,0.447,0.0,0.281,0.45
0.292,0.458,0.0,0.286,0.447
0.281,0.451,0.0,0.292,0.458
0.295,0.432,0.0,0.281,0.451
0.289,0.411,0.0,0.295,0.432
0.285,0.413,0.0,0.289,0.411
0.284,0.415,0.0,0.285,0.413
0.283,0.422,0.0,0.284,0.415
0.293,0.43,0.0,0.283,0.422
0.287,0.429,0.0,0.293,0.43
0.302,0.423,0.0,0.287,0.429
0.305,0.427,0.0,0.302,0.423
0.3,0.418,0.0,0.305,0.427
0.322,0.421,0.0,0.3,0.418
0.317,0.421,0.0,0.322,0.421
0.317,0.42,0.0,0.317,0.421
0.3,0.412,0.0,0.317,0.42
0.284,0.402,0.0,0.3,0.412
0.285,0.409,0.0,0.284,0.402
0.284,0.425,0.0,0.285,0.409
0.277,0.426,0.0,0.284,0.425
0.275,0.416,0.0,0.277,0.426
0.283,0.419,0.0,0.275,0.416
0.284,0.416,0.0,0.283,0.419
0.279,0.429,0.0,0.284,0.416
0.282,0.42,0.0,0.279,0.429
0.282,0.425,0.0,0.282,0.42
0.285,0.43,0.0,0.282,0.425
0.281,0.425,0.0,0.285,0.43
0.284,0.427,0.0,0.281,0.425
0.28,0.434,0.0,0.284,0.427
