3cc39f92-e725-4db2-ad28-da3438ddc495_(t),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t-1),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t-1)
0.335,0.463,1.0,0.338,0.464
0.328,0.454,1.0,0.335,0.463
0.334,0.462,1.0,0.328,0.454
0.334,0.457,1.0,0.334,0.462
0.323,0.444,1.0,0.334,0.457
0.331,0.438,1.0,0.323,0.444
0.335,0.43,2.0,0.331,0.438
0.321,0.432,1.0,0.335,0.43
0.329,0.441,1.0,0.321,0.432
0.328,0.441,1.0,0.329,0.441
0.324,0.438,1.0,0.328,0.441
0.317,0.444,1.0,0.324,0.438
0.325,0.453,1.0,0.317,0.444
0.315,0.447,1.0,0.325,0.453
0.32,0.452,1.0,0.315,0.447
0.315,0.455,1.0,0.32,0.452
0.321,0.455,1.0,0.315,0.455
0.33,0.466,1.0,0.321,0.455
0.321,0.455,1.0,0.33,0.466
0.326,0.465,1.0,0.321,0.455
0.342,0.465,1.0,0.326,0.465
0.345,0.463,1.0,0.342,0.465
0.341,0.457,1.0,0.345,0.463
0.353,0.47,1.0,0.341,0.457
0.364,0.488,1.0,0.353,0.47
0.36,0.483,1.0,0.364,0.488
0.366,0.484,1.0,0.36,0.483
0.363,0.478,1.0,0.366,0.484
0.343,0.476,1.0,0.363,0.478
0.349,0.474,1.0,0.343,0.476
0.331,0.478,1.0,0.349,0.474
0.341,0.475,1.0,0.331,0.478
0.343,0.477,1.0,0.341,0.475
0.346,0.46,1.0,0.343,0.477
0.326,0.474,1.0,0.346,0.46
0.318,0.462,2.0,0.326,0.474
0.323,0.46,2.0,0.318,0.462
0.327,0.463,1.0,0.323,0.46
0.318,0.459,1.0,0.327,0.463
0.319,0.461,1.0,0.318,0.459
0.32,0.453,1.0,0.319,0.461
0.33,0.457,1.0,0.32,0.453
0.329,0.456,1.0,0.33,0.457
0.33,0.453,1.0,0.329,0.456
0.326,0.452,1.0,0.33,0.453
0.355,0.441,1.0,0.326,0.452
0.344,0.444,1.0,0.355,0.441
0.335,0.449,1.0,0.344,0.444
0.335,0.446,1.0,0.335,0.449
0.326,0.449,1.0,0.335,0.446
0.32,0.453,1.0,0.326,0.449
0.315,0.45,1.0,0.32,0.453
0.315,0.463,1.0,0.315,0.45
0.316,0.453,1.0,0.315,0.463
0.328,0.448,1.0,0.316,0.453
0.318,0.447,2.0,0.328,0.448
0.332,0.444,2.0,0.318,0.447
0.335,0.447,1.0,0.332,0.444
0.325,0.438,1.0,0.335,0.447
0.321,0.441,1.0,0.325,0.438
0.327,0.44,1.0,0.321,0.441
0.321,0.438,1.0,0.327,0.44
0.321,0.431,1.0,0.321,0.438
