3cc39f92-e725-4db2-ad28-da3438ddc495_(t),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t-1),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t-1)
0.309,0.476,1.0,0.316,0.468
0.308,0.462,2.0,0.309,0.476
0.312,0.461,1.0,0.308,0.462
0.318,0.473,2.0,0.312,0.461
0.32,0.463,1.0,0.318,0.473
0.325,0.454,1.0,0.32,0.463
0.329,0.456,2.0,0.325,0.454
0.323,0.461,2.0,0.329,0.456
0.329,0.47,1.0,0.323,0.461
0.334,0.475,2.0,0.329,0.47
0.33,0.483,2.0,0.334,0.475
0.342,0.49,2.0,0.33,0.483
0.343,0.498,2.0,0.342,0.49
0.323,0.498,2.0,0.343,0.498
0.307,0.488,1.0,0.323,0.498
0.31,0.485,0.0,0.307,0.488
0.295,0.484,0.0,0.31,0.485
0.298,0.475,0.0,0.295,0.484
0.288,0.467,0.0,0.298,0.475
0.279,0.483,0.0,0.288,0.467
0.292,0.471,0.0,0.279,0.483
0.293,0.47,0.0,0.292,0.471
0.288,0.468,0.0,0.293,0.47
0.306,0.46,0.0,0.288,0.468
0.291,0.467,1.0,0.306,0.46
0.294,0.468,0.0,0.291,0.467
0.296,0.465,1.0,0.294,0.468
0.296,0.461,1.0,0.296,0.465
0.309,0.48,1.0,0.296,0.461
0.307,0.459,1.0,0.309,0.48
0.304,0.452,1.0,0.307,0.459
0.305,0.457,1.0,0.304,0.452
0.301,0.459,1.0,0.305,0.457
0.303,0.465,0.0,0.301,0.459
0.295,0.475,1.0,0.303,0.465
0.301,0.477,0.0,0.295,0.475
0.296,0.476,0.0,0.301,0.477
0.299,0.482,0.0,0.296,0.476
0.293,0.475,0.0,0.299,0.482
0.286,0.466,1.0,0.293,0.475
0.294,0.46,0.0,0.286,0.466
0.293,0.446,0.0,0.294,0.46
0.303,0.439,0.0,0.293,0.446
0.3,0.453,0.0,0.303,0.439
0.291,0.428,1.0,0.3,0.453
0.284,0.419,1.0,0.291,0.428
0.286,0.425,1.0,0.284,0.419
0.289,0.431,1.0,0.286,0.425
0.288,0.415,1.0,0.289,0.431
0.298,0.417,1.0,0.288,0.415
0.286,0.424,1.0,0.298,0.417
0.294,0.426,1.0,0.286,0.424
0.297,0.459,1.0,0.294,0.426
0.311,0.45,1.0,0.297,0.459
0.299,0.459,1.0,0.311,0.45
0.303,0.458,1.0,0.299,0.459
0.301,0.472,1.0,0.303,0.458
0.296,0.465,1.0,0.301,0.472
0.301,0.474,1.0,0.296,0.465
0.304,0.48,1.0,0.301,0.474
0.299,0.475,1.0,0.304,0.48
0.302,0.493,1.0,0.299,0.475
0.305,0.481,2.0,0.302,0.493
