90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.487,0.608,1.0,0.479,0.607
0.488,0.608,2.0,0.487,0.608
0.491,0.622,1.0,0.488,0.608
0.491,0.619,2.0,0.491,0.622
0.488,0.63,1.0,0.491,0.619
0.493,0.632,1.0,0.488,0.63
0.498,0.636,2.0,0.493,0.632
0.529,0.612,2.0,0.498,0.636
0.505,0.635,1.0,0.529,0.612
0.485,0.638,2.0,0.505,0.635
0.489,0.643,2.0,0.485,0.638
0.489,0.638,2.0,0.489,0.643
0.495,0.614,2.0,0.489,0.638
0.486,0.607,2.0,0.495,0.614
0.477,0.617,1.0,0.486,0.607
0.453,0.608,0.0,0.477,0.617
0.442,0.602,0.0,0.453,0.608
0.447,0.59,0.0,0.442,0.602
0.44,0.572,0.0,0.447,0.59
0.455,0.572,0.0,0.44,0.572
0.457,0.578,0.0,0.455,0.572
0.448,0.591,0.0,0.457,0.578
0.448,0.591,0.0,0.448,0.591
0.44,0.586,0.0,0.448,0.591
0.437,0.589,1.0,0.44,0.586
0.437,0.606,0.0,0.437,0.589
0.444,0.598,1.0,0.437,0.606
0.438,0.587,1.0,0.444,0.598
0.445,0.6,1.0,0.438,0.587
0.433,0.591,1.0,0.445,0.6
0.44,0.603,1.0,0.433,0.591
0.442,0.605,1.0,0.44,0.603
0.436,0.59,1.0,0.442,0.605
0.444,0.592,0.0,0.436,0.59
0.437,0.618,1.0,0.444,0.592
0.437,0.627,0.0,0.437,0.618
0.435,0.608,0.0,0.437,0.627
0.447,0.609,0.0,0.435,0.608
0.446,0.631,0.0,0.447,0.609
0.435,0.634,1.0,0.446,0.631
0.435,0.63,0.0,0.435,0.634
0.442,0.631,0.0,0.435,0.63
0.447,0.63,0.0,0.442,0.631
0.466,0.622,0.0,0.447,0.63
0.469,0.614,1.0,0.466,0.622
0.47,0.6,1.0,0.469,0.614
0.466,0.596,1.0,0.47,0.6
0.461,0.6,1.0,0.466,0.596
0.455,0.6,1.0,0.461,0.6
0.471,0.603,1.0,0.455,0.6
0.489,0.586,1.0,0.471,0.603
0.478,0.593,1.0,0.489,0.586
0.481,0.597,1.0,0.478,0.593
0.488,0.598,1.0,0.481,0.597
0.496,0.603,1.0,0.488,0.598
0.485,0.591,1.0,0.496,0.603
0.482,0.581,1.0,0.485,0.591
0.48,0.591,1.0,0.482,0.581
0.468,0.569,1.0,0.48,0.591
0.464,0.574,1.0,0.468,0.569
0.483,0.592,1.0,0.464,0.574
0.467,0.587,1.0,0.483,0.592
0.459,0.604,2.0,0.467,0.587
0.441,0.608,2.0,0.459,0.604
0.446,0.58,1.0,0.441,0.608
0.448,0.573,1.0,0.446,0.58
0.452,0.557,1.0,0.448,0.573
0.442,0.561,1.0,0.452,0.557
0.441,0.561,1.0,0.442,0.561
0.437,0.57,1.0,0.441,0.561
0.442,0.569,1.0,0.437,0.57
0.461,0.557,1.0,0.442,0.569
0.448,0.556,1.0,0.461,0.557
0.451,0.557,0.0,0.448,0.556
0.451,0.559,0.0,0.451,0.557
0.454,0.56,0.0,0.451,0.559
0.456,0.561,1.0,0.454,0.56
0.459,0.566,1.0,0.456,0.561
0.461,0.554,1.0,0.459,0.566
0.457,0.562,2.0,0.461,0.554
0.461,0.57,2.0,0.457,0.562
0.488,0.585,2.0,0.461,0.57
0.492,0.594,2.0,0.488,0.585
0.484,0.619,2.0,0.492,0.594
0.501,0.632,2.0,0.484,0.619
0.497,0.628,2.0,0.501,0.632
0.525,0.646,2.0,0.497,0.628
0.537,0.647,2.0,0.525,0.646
0.547,0.663,2.0,0.537,0.647
0.557,0.663,2.0,0.547,0.663
0.552,0.669,2.0,0.557,0.663
0.546,0.692,2.0,0.552,0.669
0.534,0.682,2.0,0.546,0.692
0.55,0.694,2.0,0.534,0.682
0.548,0.717,2.0,0.55,0.694
0.562,0.711,2.0,0.548,0.717
0.583,0.727,2.0,0.562,0.711
0.576,0.72,2.0,0.583,0.727
0.567,0.742,2.0,0.576,0.72
0.572,0.759,2.0,0.567,0.742
0.594,0.784,2.0,0.572,0.759
0.585,0.791,2.0,0.594,0.784
0.575,0.715,2.0,0.585,0.791
