3cc39f92-e725-4db2-ad28-da3438ddc495_(t),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t-1),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t-1)
0.298,0.454,0.0,0.307,0.462
0.294,0.451,1.0,0.298,0.454
0.306,0.441,1.0,0.294,0.451
0.306,0.454,1.0,0.306,0.441
0.299,0.455,0.0,0.306,0.454
0.301,0.454,0.0,0.299,0.455
0.307,0.45,0.0,0.301,0.454
0.295,0.45,0.0,0.307,0.45
0.29,0.46,0.0,0.295,0.45
0.287,0.463,0.0,0.29,0.46
0.282,0.466,0.0,0.287,0.463
0.279,0.47,0.0,0.282,0.466
0.291,0.478,0.0,0.279,0.47
0.284,0.485,0.0,0.291,0.478
0.288,0.479,0.0,0.284,0.485
0.289,0.481,0.0,0.288,0.479
0.295,0.488,0.0,0.289,0.481
0.283,0.477,0.0,0.295,0.488
0.289,0.473,0.0,0.283,0.477
0.287,0.475,1.0,0.289,0.473
0.278,0.466,0.0,0.287,0.475
0.282,0.464,0.0,0.278,0.466
0.275,0.475,0.0,0.282,0.464
0.281,0.474,0.0,0.275,0.475
0.286,0.474,0.0,0.281,0.474
0.278,0.458,0.0,0.286,0.474
0.277,0.446,0.0,0.278,0.458
0.281,0.451,0.0,0.277,0.446
0.285,0.438,1.0,0.281,0.451
0.29,0.449,1.0,0.285,0.438
0.287,0.446,1.0,0.29,0.449
0.287,0.444,1.0,0.287,0.446
0.293,0.442,1.0,0.287,0.444
0.304,0.442,0.0,0.293,0.442
0.297,0.438,0.0,0.304,0.442
0.294,0.436,0.0,0.297,0.438
0.3,0.432,0.0,0.294,0.436
0.298,0.451,0.0,0.3,0.432
0.314,0.458,1.0,0.298,0.451
0.31,0.44,1.0,0.314,0.458
0.295,0.466,2.0,0.31,0.44
0.3,0.477,1.0,0.295,0.466
0.292,0.475,1.0,0.3,0.477
0.295,0.472,1.0,0.292,0.475
0.292,0.471,1.0,0.295,0.472
0.283,0.479,0.0,0.292,0.471
0.28,0.489,0.0,0.283,0.479
0.282,0.482,0.0,0.28,0.489
0.288,0.457,0.0,0.282,0.482
0.287,0.472,0.0,0.288,0.457
0.294,0.484,0.0,0.287,0.472
0.289,0.468,0.0,0.294,0.484
0.294,0.468,0.0,0.289,0.468
0.287,0.471,0.0,0.294,0.468
0.287,0.475,0.0,0.287,0.471
0.283,0.474,0.0,0.287,0.475
0.28,0.476,1.0,0.283,0.474
0.286,0.466,1.0,0.28,0.476
0.284,0.448,1.0,0.286,0.466
0.285,0.436,1.0,0.284,0.448
0.288,0.444,1.0,0.285,0.436
0.297,0.46,1.0,0.288,0.444
0.304,0.453,1.0,0.297,0.46
0.303,0.448,1.0,0.304,0.453
0.294,0.455,1.0,0.303,0.448
0.294,0.471,0.0,0.294,0.455
0.294,0.456,0.0,0.294,0.471
0.288,0.458,0.0,0.294,0.456
0.296,0.445,1.0,0.288,0.458
0.301,0.428,1.0,0.296,0.445
0.295,0.422,1.0,0.301,0.428
0.291,0.416,0.0,0.295,0.422
0.302,0.416,0.0,0.291,0.416
0.291,0.422,0.0,0.302,0.416
0.291,0.423,0.0,0.291,0.422
0.284,0.408,0.0,0.291,0.423
0.286,0.413,1.0,0.284,0.408
0.298,0.411,2.0,0.286,0.413
0.296,0.407,2.0,0.298,0.411
0.289,0.419,2.0,0.296,0.407
0.285,0.419,2.0,0.289,0.419
0.282,0.44,1.0,0.285,0.419
0.304,0.427,2.0,0.282,0.44
0.301,0.424,1.0,0.304,0.427
0.301,0.441,1.0,0.301,0.424
0.309,0.445,1.0,0.301,0.441
0.313,0.446,1.0,0.309,0.445
0.333,0.467,1.0,0.313,0.446
0.328,0.472,1.0,0.333,0.467
0.306,0.462,1.0,0.328,0.472
0.306,0.456,0.0,0.306,0.462
0.286,0.451,0.0,0.306,0.456
0.294,0.437,0.0,0.286,0.451
0.292,0.431,1.0,0.294,0.437
0.279,0.433,0.0,0.292,0.431
0.283,0.421,0.0,0.279,0.433
0.284,0.43,0.0,0.283,0.421
0.272,0.429,0.0,0.284,0.43
0.274,0.44,0.0,0.272,0.429
0.267,0.442,0.0,0.274,0.44
0.27,0.468,0.0,0.267,0.442
0.276,0.482,0.0,0.27,0.468
0.281,0.481,1.0,0.276,0.482
0.279,0.471,0.0,0.281,0.481
0.293,0.486,1.0,0.279,0.471
0.285,0.485,1.0,0.293,0.486
0.292,0.481,1.0,0.285,0.485
0.293,0.482,1.0,0.292,0.481
0.3,0.497,1.0,0.293,0.482
0.296,0.482,0.0,0.3,0.497
0.301,0.478,0.0,0.296,0.482
0.303,0.448,1.0,0.301,0.478
0.29,0.427,1.0,0.303,0.448
0.304,0.419,1.0,0.29,0.427
0.29,0.445,0.0,0.304,0.419
0.286,0.451,0.0,0.29,0.445
0.287,0.452,0.0,0.286,0.451
0.289,0.442,0.0,0.287,0.452
0.287,0.442,1.0,0.289,0.442
0.3,0.45,1.0,0.287,0.442
0.309,0.446,0.0,0.3,0.45
0.296,0.431,1.0,0.309,0.446
0.283,0.442,0.0,0.296,0.431
0.284,0.446,0.0,0.283,0.442
0.28,0.446,0.0,0.284,0.446
0.291,0.448,0.0,0.28,0.446
0.285,0.438,0.0,0.291,0.448
0.286,0.445,1.0,0.285,0.438
0.284,0.457,1.0,0.286,0.445
0.297,0.46,1.0,0.284,0.457
0.299,0.454,1.0,0.297,0.46
0.297,0.448,2.0,0.299,0.454
0.29,0.452,2.0,0.297,0.448
0.293,0.435,2.0,0.29,0.452
0.301,0.435,0.0,0.293,0.435
0.295,0.43,0.0,0.301,0.435
0.302,0.431,0.0,0.295,0.43
0.306,0.428,0.0,0.302,0.431
0.303,0.429,1.0,0.306,0.428
0.304,0.45,1.0,0.303,0.429
0.302,0.453,0.0,0.304,0.45
0.306,0.45,1.0,0.302,0.453
0.31,0.439,1.0,0.306,0.45
0.299,0.441,1.0,0.31,0.439
0.299,0.455,1.0,0.299,0.441
0.301,0.456,1.0,0.299,0.455
0.29,0.464,0.0,0.301,0.456
0.291,0.463,0.0,0.29,0.464
0.307,0.455,0.0,0.291,0.463
0.298,0.448,0.0,0.307,0.455
0.292,0.449,0.0,0.298,0.448
0.292,0.457,0.0,0.292,0.449
0.303,0.47,1.0,0.292,0.457
0.299,0.461,1.0,0.303,0.47
0.302,0.465,1.0,0.299,0.461
0.313,0.465,1.0,0.302,0.465
0.317,0.453,0.0,0.313,0.465
0.322,0.449,1.0,0.317,0.453
0.316,0.454,0.0,0.322,0.449
