3cc39f92-e725-4db2-ad28-da3438ddc495_(t),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t-1),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t-1)
0.261,0.446,0.0,0.263,0.45
0.259,0.459,0.0,0.261,0.446
0.242,0.455,0.0,0.259,0.459
0.254,0.457,0.0,0.242,0.455
0.249,0.457,0.0,0.254,0.457
0.246,0.438,0.0,0.249,0.457
0.247,0.435,0.0,0.246,0.438
0.254,0.435,0.0,0.247,0.435
0.254,0.428,0.0,0.254,0.435
0.256,0.424,0.0,0.254,0.428
0.265,0.422,0.0,0.256,0.424
0.256,0.412,0.0,0.265,0.422
0.261,0.408,0.0,0.256,0.412
0.266,0.396,0.0,0.261,0.408
0.263,0.391,0.0,0.266,0.396
0.252,0.409,0.0,0.263,0.391
0.25,0.416,0.0,0.252,0.409
0.253,0.422,0.0,0.25,0.416
0.255,0.414,0.0,0.253,0.422
0.254,0.423,0.0,0.255,0.414
0.261,0.433,0.0,0.254,0.423
0.25,0.425,0.0,0.261,0.433
0.248,0.418,0.0,0.25,0.425
0.267,0.415,0.0,0.248,0.418
0.252,0.416,0.0,0.267,0.415
0.245,0.403,0.0,0.252,0.416
0.262,0.397,0.0,0.245,0.403
0.266,0.389,0.0,0.262,0.397
0.265,0.413,0.0,0.266,0.389
0.257,0.411,0.0,0.265,0.413
0.254,0.408,0.0,0.257,0.411
0.251,0.415,0.0,0.254,0.408
0.252,0.412,0.0,0.251,0.415
0.251,0.423,0.0,0.252,0.412
0.259,0.419,0.0,0.251,0.423
0.261,0.428,0.0,0.259,0.419
0.255,0.433,0.0,0.261,0.428
0.268,0.445,0.0,0.255,0.433
0.27,0.442,0.0,0.268,0.445
0.269,0.419,0.0,0.27,0.442
0.271,0.413,0.0,0.269,0.419
0.267,0.414,0.0,0.271,0.413
0.276,0.417,0.0,0.267,0.414
0.279,0.419,0.0,0.276,0.417
0.274,0.405,0.0,0.279,0.419
0.277,0.402,0.0,0.274,0.405
0.274,0.389,0.0,0.277,0.402
0.268,0.374,0.0,0.274,0.389
0.254,0.375,0.0,0.268,0.374
0.249,0.398,0.0,0.254,0.375
0.25,0.407,0.0,0.249,0.398
0.249,0.431,0.0,0.25,0.407
0.257,0.429,0.0,0.249,0.431
0.256,0.419,0.0,0.257,0.429
0.261,0.421,0.0,0.256,0.419
0.259,0.442,0.0,0.261,0.421
0.26,0.457,0.0,0.259,0.442
0.271,0.47,0.0,0.26,0.457
0.26,0.466,0.0,0.271,0.47
0.258,0.454,0.0,0.26,0.466
0.256,0.431,0.0,0.258,0.454
0.262,0.417,0.0,0.256,0.431
0.254,0.415,0.0,0.262,0.417
0.262,0.418,0.0,0.254,0.415
0.26,0.414,0.0,0.262,0.418
0.26,0.415,0.0,0.26,0.414
0.246,0.4,0.0,0.26,0.415
0.246,0.403,0.0,0.246,0.4
0.253,0.404,0.0,0.246,0.403
0.249,0.404,0.0,0.253,0.404
0.255,0.412,0.0,0.249,0.404
0.254,0.411,0.0,0.255,0.412
0.251,0.414,0.0,0.254,0.411
0.255,0.408,0.0,0.251,0.414
0.258,0.418,0.0,0.255,0.408
0.259,0.424,0.0,0.258,0.418
0.27,0.415,0.0,0.259,0.424
0.277,0.404,0.0,0.27,0.415
0.27,0.412,0.0,0.277,0.404
0.269,0.414,0.0,0.27,0.412
0.27,0.409,0.0,0.269,0.414
0.265,0.418,0.0,0.27,0.409
0.268,0.412,0.0,0.265,0.418
0.278,0.408,0.0,0.268,0.412
0.275,0.41,0.0,0.278,0.408
0.271,0.402,0.0,0.275,0.41
0.268,0.401,0.0,0.271,0.402
0.27,0.415,0.0,0.268,0.401
0.274,0.413,0.0,0.27,0.415
0.258,0.402,0.0,0.274,0.413
0.267,0.411,0.0,0.258,0.402
0.273,0.42,0.0,0.267,0.411
0.277,0.417,0.0,0.273,0.42
0.275,0.432,0.0,0.277,0.417
0.273,0.422,0.0,0.275,0.432
0.268,0.423,0.0,0.273,0.422
0.276,0.425,0.0,0.268,0.423
0.273,0.424,0.0,0.276,0.425
0.277,0.432,0.0,0.273,0.424
0.284,0.431,0.0,0.277,0.432
0.28,0.429,0.0,0.284,0.431
0.289,0.433,0.0,0.28,0.429
0.283,0.432,0.0,0.289,0.433
0.283,0.435,0.0,0.283,0.432
0.287,0.424,0.0,0.283,0.435
0.307,0.424,0.0,0.287,0.424
0.308,0.425,0.0,0.307,0.424
0.302,0.414,0.0,0.308,0.425
0.299,0.433,0.0,0.302,0.414
0.282,0.427,0.0,0.299,0.433
0.263,0.434,0.0,0.282,0.427
0.264,0.418,0.0,0.263,0.434
0.269,0.413,0.0,0.264,0.418
0.261,0.413,0.0,0.269,0.413
0.262,0.421,0.0,0.261,0.413
0.266,0.431,0.0,0.262,0.421
0.28,0.432,0.0,0.266,0.431
0.279,0.448,0.0,0.28,0.432
0.278,0.445,0.0,0.279,0.448
0.279,0.431,0.0,0.278,0.445
0.273,0.43,0.0,0.279,0.431
0.28,0.44,0.0,0.273,0.43
0.28,0.434,0.0,0.28,0.44
0.272,0.437,0.0,0.28,0.434
0.264,0.451,0.0,0.272,0.437
0.262,0.43,0.0,0.264,0.451
0.26,0.427,0.0,0.262,0.43
0.265,0.411,0.0,0.26,0.427
0.258,0.408,0.0,0.265,0.411
0.266,0.413,0.0,0.258,0.408
0.27,0.4,0.0,0.266,0.413
0.266,0.41,0.0,0.27,0.4
0.258,0.41,0.0,0.266,0.41
0.257,0.41,0.0,0.258,0.41
0.261,0.409,0.0,0.257,0.41
0.258,0.396,0.0,0.261,0.409
0.255,0.399,0.0,0.258,0.396
0.249,0.43,0.0,0.255,0.399
0.254,0.427,0.0,0.249,0.43
0.252,0.426,0.0,0.254,0.427
0.256,0.426,0.0,0.252,0.426
0.251,0.435,0.0,0.256,0.426
0.249,0.43,0.0,0.251,0.435
0.258,0.426,0.0,0.249,0.43
0.259,0.424,0.0,0.258,0.426
0.267,0.408,0.0,0.259,0.424
0.267,0.409,0.0,0.267,0.408
0.258,0.416,0.0,0.267,0.409
0.255,0.4,0.0,0.258,0.416
0.256,0.394,0.0,0.255,0.4
0.251,0.394,0.0,0.256,0.394
0.262,0.383,0.0,0.251,0.394
0.263,0.378,0.0,0.262,0.383
0.272,0.385,0.0,0.263,0.378
0.272,0.395,0.0,0.272,0.385
0.267,0.397,0.0,0.272,0.395
0.258,0.393,0.0,0.267,0.397
0.261,0.399,0.0,0.258,0.393
0.258,0.398,0.0,0.261,0.399
0.254,0.408,0.0,0.258,0.398
0.253,0.416,0.0,0.254,0.408
0.254,0.411,0.0,0.253,0.416
0.251,0.404,0.0,0.254,0.411
0.25,0.407,0.0,0.251,0.404
0.245,0.395,0.0,0.25,0.407
0.248,0.393,0.0,0.245,0.395
0.253,0.39,0.0,0.248,0.393
0.26,0.39,0.0,0.253,0.39
0.262,0.386,0.0,0.26,0.39
0.267,0.378,0.0,0.262,0.386
0.272,0.37,0.0,0.267,0.378
0.274,0.38,0.0,0.272,0.37
0.272,0.385,0.0,0.274,0.38
0.266,0.384,0.0,0.272,0.385
0.274,0.378,0.0,0.266,0.384
0.268,0.389,0.0,0.274,0.378
0.268,0.403,0.0,0.268,0.389
0.255,0.402,0.0,0.268,0.403
0.26,0.404,0.0,0.255,0.402
0.259,0.418,0.0,0.26,0.404
0.257,0.431,0.0,0.259,0.418
0.252,0.419,0.0,0.257,0.431
0.252,0.417,0.0,0.252,0.419
0.256,0.418,0.0,0.252,0.417
0.262,0.428,0.0,0.256,0.418
0.257,0.424,0.0,0.262,0.428
0.279,0.424,0.0,0.257,0.424
0.276,0.416,0.0,0.279,0.424
0.276,0.409,0.0,0.276,0.416
0.273,0.393,0.0,0.276,0.409
0.275,0.401,0.0,0.273,0.393
0.272,0.4,0.0,0.275,0.401
0.264,0.403,0.0,0.272,0.4
0.257,0.415,0.0,0.264,0.403
0.279,0.411,0.0,0.257,0.415
0.276,0.415,0.0,0.279,0.411
0.27,0.425,0.0,0.276,0.415
0.255,0.428,0.0,0.27,0.425
0.26,0.433,0.0,0.255,0.428
0.264,0.439,0.0,0.26,0.433
0.261,0.441,0.0,0.264,0.439
0.26,0.43,0.0,0.261,0.441
0.258,0.431,0.0,0.26,0.43
0.265,0.422,0.0,0.258,0.431
0.268,0.42,0.0,0.265,0.422
0.267,0.421,0.0,0.268,0.42
0.274,0.402,0.0,0.267,0.421
0.268,0.4,0.0,0.274,0.402
0.254,0.402,0.0,0.268,0.4
0.255,0.397,0.0,0.254,0.402
0.251,0.391,0.0,0.255,0.397
0.254,0.378,0.0,0.251,0.391
0.268,0.366,0.0,0.254,0.378
0.261,0.365,0.0,0.268,0.366
0.259,0.379,0.0,0.261,0.365
0.268,0.383,0.0,0.259,0.379
0.262,0.381,0.0,0.268,0.383
0.26,0.398,0.0,0.262,0.381
0.267,0.404,0.0,0.26,0.398
0.263,0.415,0.0,0.267,0.404
0.265,0.417,0.0,0.263,0.415
0.265,0.441,0.0,0.265,0.417
0.264,0.46,0.0,0.265,0.441
0.267,0.476,0.0,0.264,0.46
0.266,0.471,0.0,0.267,0.476
0.265,0.465,0.0,0.266,0.471
0.259,0.454,0.0,0.265,0.465
0.256,0.446,0.0,0.259,0.454
0.259,0.443,0.0,0.256,0.446
0.248,0.43,0.0,0.259,0.443
0.254,0.427,0.0,0.248,0.43
0.259,0.411,0.0,0.254,0.427
0.261,0.402,0.0,0.259,0.411
0.248,0.391,0.0,0.261,0.402
0.249,0.386,0.0,0.248,0.391
0.249,0.375,0.0,0.249,0.386
0.257,0.379,0.0,0.249,0.375
0.25,0.388,0.0,0.257,0.379
0.257,0.392,0.0,0.25,0.388
0.25,0.413,0.0,0.257,0.392
0.25,0.418,0.0,0.25,0.413
0.26,0.42,0.0,0.25,0.418
0.268,0.41,0.0,0.26,0.42
0.275,0.409,0.0,0.268,0.41
0.266,0.397,0.0,0.275,0.409
0.263,0.393,0.0,0.266,0.397
0.258,0.4,0.0,0.263,0.393
0.253,0.393,0.0,0.258,0.4
0.258,0.376,0.0,0.253,0.393
0.256,0.365,0.0,0.258,0.376
0.257,0.359,0.0,0.256,0.365
0.26,0.358,0.0,0.257,0.359
0.267,0.35,0.0,0.26,0.358
0.26,0.35,0.0,0.267,0.35
0.271,0.349,0.0,0.26,0.35
0.272,0.359,0.0,0.271,0.349
0.267,0.361,0.0,0.272,0.359
0.261,0.363,0.0,0.267,0.361
0.261,0.363,0.0,0.261,0.363
0.269,0.369,0.0,0.261,0.363
0.261,0.379,0.0,0.269,0.369
0.259,0.377,0.0,0.261,0.379
0.262,0.381,0.0,0.259,0.377
0.264,0.389,0.0,0.262,0.381
0.266,0.388,0.0,0.264,0.389
0.253,0.39,0.0,0.266,0.388
0.26,0.388,0.0,0.253,0.39
0.275,0.401,0.0,0.26,0.388
0.272,0.401,0.0,0.275,0.401
0.283,0.392,0.0,0.272,0.401
0.272,0.39,0.0,0.283,0.392
0.271,0.388,0.0,0.272,0.39
0.262,0.384,0.0,0.271,0.388
0.26,0.377,0.0,0.262,0.384
0.257,0.387,0.0,0.26,0.377
0.253,0.392,0.0,0.257,0.387
0.259,0.393,0.0,0.253,0.392
0.261,0.387,0.0,0.259,0.393
0.254,0.395,0.0,0.261,0.387
0.258,0.409,0.0,0.254,0.395
0.261,0.393,0.0,0.258,0.409
0.262,0.391,0.0,0.261,0.393
0.255,0.39,0.0,0.262,0.391
0.256,0.396,0.0,0.255,0.39
0.266,0.409,0.0,0.256,0.396
0.258,0.396,0.0,0.266,0.409
0.259,0.401,0.0,0.258,0.396
0.257,0.408,0.0,0.259,0.401
0.258,0.408,0.0,0.257,0.408
0.288,0.402,0.0,0.258,0.408
0.287,0.41,0.0,0.288,0.402
0.282,0.429,0.0,0.287,0.41
0.28,0.432,0.0,0.282,0.429
0.284,0.442,0.0,0.28,0.432
0.274,0.444,0.0,0.284,0.442
0.274,0.457,0.0,0.274,0.444
0.279,0.478,0.0,0.274,0.457
0.272,0.461,0.0,0.279,0.478
0.277,0.465,0.0,0.272,0.461
0.278,0.464,0.0,0.277,0.465
0.277,0.474,0.0,0.278,0.464
0.277,0.473,0.0,0.277,0.474
0.278,0.482,0.0,0.277,0.473
0.276,0.479,0.0,0.278,0.482
0.286,0.473,0.0,0.276,0.479
0.301,0.462,0.0,0.286,0.473
0.314,0.462,0.0,0.301,0.462
0.324,0.475,0.0,0.314,0.462
0.306,0.472,0.0,0.324,0.475
