90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.418,0.517,0.0,0.417,0.511
0.41,0.523,0.0,0.418,0.517
0.403,0.529,0.0,0.41,0.523
0.41,0.506,0.0,0.403,0.529
0.394,0.514,0.0,0.41,0.506
0.397,0.509,0.0,0.394,0.514
0.404,0.516,0.0,0.397,0.509
0.406,0.522,1.0,0.404,0.516
0.401,0.516,2.0,0.406,0.522
0.411,0.518,1.0,0.401,0.516
0.415,0.524,1.0,0.411,0.518
0.415,0.532,0.0,0.415,0.524
0.419,0.534,0.0,0.415,0.532
0.425,0.539,0.0,0.419,0.534
0.451,0.546,0.0,0.425,0.539
0.473,0.525,0.0,0.451,0.546
0.48,0.533,0.0,0.473,0.525
0.478,0.532,0.0,0.48,0.533
0.483,0.521,0.0,0.478,0.532
0.469,0.53,0.0,0.483,0.521
0.46,0.525,0.0,0.469,0.53
0.459,0.526,0.0,0.46,0.525
0.447,0.528,0.0,0.459,0.526
0.451,0.521,0.0,0.447,0.528
0.418,0.521,0.0,0.451,0.521
0.43,0.526,0.0,0.418,0.521
0.415,0.528,0.0,0.43,0.526
0.4,0.52,0.0,0.415,0.528
0.403,0.508,0.0,0.4,0.52
0.41,0.52,0.0,0.403,0.508
0.412,0.518,0.0,0.41,0.52
0.403,0.514,0.0,0.412,0.518
0.402,0.539,0.0,0.403,0.514
0.406,0.53,0.0,0.402,0.539
0.395,0.518,0.0,0.406,0.53
0.398,0.497,0.0,0.395,0.518
0.395,0.501,0.0,0.398,0.497
0.409,0.511,0.0,0.395,0.501
0.413,0.519,0.0,0.409,0.511
0.428,0.531,0.0,0.413,0.519
0.426,0.547,0.0,0.428,0.531
0.433,0.521,0.0,0.426,0.547
0.43,0.523,0.0,0.433,0.521
0.421,0.532,1.0,0.43,0.523
0.416,0.518,0.0,0.421,0.532
0.416,0.519,0.0,0.416,0.518
0.42,0.509,0.0,0.416,0.519
0.413,0.51,0.0,0.42,0.509
0.403,0.512,0.0,0.413,0.51
0.397,0.507,0.0,0.403,0.512
0.402,0.503,0.0,0.397,0.507
0.419,0.521,0.0,0.402,0.503
0.418,0.51,0.0,0.419,0.521
0.413,0.506,0.0,0.418,0.51
0.421,0.516,0.0,0.413,0.506
0.426,0.512,0.0,0.421,0.516
