14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t-1)
1.0,0.306,1.0
1.0,0.301,1.0
0.0,0.298,1.0
0.0,0.291,0.0
0.0,0.291,0.0
0.0,0.293,0.0
0.0,0.296,0.0
0.0,0.294,0.0
0.0,0.293,0.0
0.0,0.283,0.0
0.0,0.265,0.0
0.0,0.263,0.0
0.0,0.266,0.0
0.0,0.267,0.0
0.0,0.259,0.0
0.0,0.262,0.0
0.0,0.266,0.0
0.0,0.259,0.0
0.0,0.26,0.0
0.0,0.272,0.0
0.0,0.272,0.0
0.0,0.27,0.0
0.0,0.269,0.0
0.0,0.269,0.0
0.0,0.269,0.0
0.0,0.287,0.0
0.0,0.287,0.0
0.0,0.303,0.0
1.0,0.287,0.0
1.0,0.313,1.0
1.0,0.311,1.0
1.0,0.299,1.0
1.0,0.295,1.0
1.0,0.3,1.0
1.0,0.305,1.0
0.0,0.293,1.0
0.0,0.274,0.0
0.0,0.266,0.0
0.0,0.258,0.0
0.0,0.249,0.0
0.0,0.253,0.0
0.0,0.249,0.0
0.0,0.251,0.0
0.0,0.249,0.0
0.0,0.26,0.0
0.0,0.259,0.0
0.0,0.257,0.0
0.0,0.26,0.0
0.0,0.256,0.0
0.0,0.25,0.0
0.0,0.262,0.0
0.0,0.259,0.0
0.0,0.256,0.0
0.0,0.254,0.0
0.0,0.259,0.0
0.0,0.262,0.0
0.0,0.261,0.0
0.0,0.265,0.0
0.0,0.274,0.0
0.0,0.268,0.0
0.0,0.263,0.0
0.0,0.261,0.0
0.0,0.256,0.0
0.0,0.268,0.0
0.0,0.264,0.0
0.0,0.252,0.0
0.0,0.252,0.0
0.0,0.262,0.0
0.0,0.255,0.0
0.0,0.252,0.0
0.0,0.258,0.0
0.0,0.254,0.0
0.0,0.264,0.0
0.0,0.263,0.0
0.0,0.273,0.0
0.0,0.278,0.0
0.0,0.293,0.0
0.0,0.307,0.0
0.0,0.288,0.0
0.0,0.28,0.0
0.0,0.284,0.0
0.0,0.281,0.0
0.0,0.281,0.0
0.0,0.267,0.0
0.0,0.275,0.0
0.0,0.27,0.0
0.0,0.269,0.0
0.0,0.263,0.0
0.0,0.257,0.0
0.0,0.265,0.0
0.0,0.261,0.0
0.0,0.263,0.0
0.0,0.269,0.0
0.0,0.275,0.0
0.0,0.264,0.0
0.0,0.261,0.0
0.0,0.261,0.0
0.0,0.259,0.0
0.0,0.269,0.0
0.0,0.269,0.0
0.0,0.263,0.0
0.0,0.265,0.0
0.0,0.274,0.0
0.0,0.27,0.0
0.0,0.273,0.0
0.0,0.277,0.0
0.0,0.275,0.0
0.0,0.282,0.0
0.0,0.283,0.0
0.0,0.273,0.0
0.0,0.266,0.0
0.0,0.268,0.0
0.0,0.268,0.0
0.0,0.274,0.0
0.0,0.264,0.0
0.0,0.263,0.0
0.0,0.266,0.0
0.0,0.271,0.0
0.0,0.274,0.0
1.0,0.275,0.0
0.0,0.29,1.0
0.0,0.286,0.0
0.0,0.279,0.0
0.0,0.283,0.0
0.0,0.28,0.0
0.0,0.284,0.0
0.0,0.275,0.0
0.0,0.272,0.0
0.0,0.285,0.0
0.0,0.273,0.0
0.0,0.277,0.0
0.0,0.276,0.0
0.0,0.277,0.0
0.0,0.267,0.0
0.0,0.266,0.0
0.0,0.272,0.0
0.0,0.274,0.0
0.0,0.269,0.0
0.0,0.263,0.0
0.0,0.263,0.0
0.0,0.263,0.0
0.0,0.266,0.0
0.0,0.277,0.0
0.0,0.278,0.0
0.0,0.283,0.0
0.0,0.286,0.0
1.0,0.279,0.0
1.0,0.277,1.0
1.0,0.298,1.0
1.0,0.291,1.0
1.0,0.301,1.0
1.0,0.282,1.0
0.0,0.284,1.0
0.0,0.279,0.0
0.0,0.274,0.0
0.0,0.267,0.0
0.0,0.26,0.0
0.0,0.276,0.0
0.0,0.27,0.0
0.0,0.274,0.0
0.0,0.28,0.0
0.0,0.271,0.0
0.0,0.265,0.0
0.0,0.269,0.0
0.0,0.28,0.0
0.0,0.267,0.0
0.0,0.256,0.0
0.0,0.253,0.0
0.0,0.253,0.0
0.0,0.254,0.0
0.0,0.261,0.0
0.0,0.257,0.0
0.0,0.259,0.0
0.0,0.271,0.0
0.0,0.276,0.0
0.0,0.259,0.0
0.0,0.26,0.0
0.0,0.258,0.0
0.0,0.267,0.0
0.0,0.262,0.0
0.0,0.276,0.0
0.0,0.269,0.0
0.0,0.265,0.0
0.0,0.264,0.0
0.0,0.268,0.0
0.0,0.274,0.0
0.0,0.275,0.0
0.0,0.274,0.0
0.0,0.273,0.0
0.0,0.264,0.0
0.0,0.266,0.0
0.0,0.252,0.0
0.0,0.255,0.0
0.0,0.26,0.0
0.0,0.259,0.0
0.0,0.255,0.0
0.0,0.258,0.0
0.0,0.258,0.0
0.0,0.264,0.0
0.0,0.255,0.0
0.0,0.267,0.0
0.0,0.258,0.0
0.0,0.256,0.0
0.0,0.253,0.0
0.0,0.246,0.0
0.0,0.258,0.0
0.0,0.263,0.0
0.0,0.266,0.0
0.0,0.262,0.0
0.0,0.268,0.0
0.0,0.259,0.0
0.0,0.258,0.0
0.0,0.255,0.0
0.0,0.252,0.0
0.0,0.251,0.0
0.0,0.256,0.0
0.0,0.256,0.0
0.0,0.261,0.0
0.0,0.264,0.0
0.0,0.268,0.0
0.0,0.282,0.0
0.0,0.27,0.0
0.0,0.263,0.0
0.0,0.256,0.0
0.0,0.262,0.0
0.0,0.252,0.0
0.0,0.261,0.0
0.0,0.262,0.0
0.0,0.264,0.0
0.0,0.269,0.0
0.0,0.267,0.0
0.0,0.271,0.0
0.0,0.266,0.0
0.0,0.256,0.0
0.0,0.253,0.0
0.0,0.246,0.0
0.0,0.252,0.0
0.0,0.256,0.0
0.0,0.272,0.0
0.0,0.263,0.0
0.0,0.258,0.0
0.0,0.252,0.0
0.0,0.257,0.0
0.0,0.257,0.0
0.0,0.263,0.0
0.0,0.268,0.0
0.0,0.27,0.0
0.0,0.264,0.0
0.0,0.257,0.0
0.0,0.252,0.0
0.0,0.257,0.0
0.0,0.26,0.0
0.0,0.267,0.0
0.0,0.272,0.0
0.0,0.272,0.0
0.0,0.27,0.0
0.0,0.264,0.0
0.0,0.265,0.0
0.0,0.26,0.0
0.0,0.268,0.0
0.0,0.266,0.0
0.0,0.267,0.0
0.0,0.268,0.0
0.0,0.265,0.0
0.0,0.266,0.0
0.0,0.28,0.0
0.0,0.288,0.0
0.0,0.27,0.0
0.0,0.271,0.0
0.0,0.28,0.0
0.0,0.276,0.0
0.0,0.259,0.0
0.0,0.264,0.0
0.0,0.258,0.0
0.0,0.264,0.0
0.0,0.264,0.0
0.0,0.266,0.0
0.0,0.261,0.0
0.0,0.26,0.0
0.0,0.265,0.0
0.0,0.266,0.0
0.0,0.264,0.0
0.0,0.27,0.0
0.0,0.25,0.0
0.0,0.253,0.0
0.0,0.252,0.0
0.0,0.26,0.0
0.0,0.266,0.0
0.0,0.273,0.0
0.0,0.27,0.0
0.0,0.276,0.0
0.0,0.283,0.0
0.0,0.29,0.0
0.0,0.296,0.0
0.0,0.294,0.0
1.0,0.286,0.0
0.0,0.279,1.0
0.0,0.271,0.0
0.0,0.261,0.0
0.0,0.262,0.0
0.0,0.263,0.0
0.0,0.258,0.0
0.0,0.265,0.0
0.0,0.26,0.0
0.0,0.254,0.0
0.0,0.263,0.0
0.0,0.262,0.0
0.0,0.269,0.0
0.0,0.275,0.0
0.0,0.27,0.0
0.0,0.261,0.0
0.0,0.251,0.0
0.0,0.253,0.0
0.0,0.245,0.0
0.0,0.243,0.0
0.0,0.255,0.0
0.0,0.254,0.0
0.0,0.241,0.0
0.0,0.244,0.0
0.0,0.25,0.0
0.0,0.244,0.0
0.0,0.245,0.0
0.0,0.252,0.0
0.0,0.247,0.0
0.0,0.256,0.0
0.0,0.263,0.0
0.0,0.273,0.0
0.0,0.277,0.0
0.0,0.28,0.0
0.0,0.265,0.0
0.0,0.259,0.0
0.0,0.267,0.0
0.0,0.272,0.0
0.0,0.264,0.0
0.0,0.27,0.0
0.0,0.267,0.0
0.0,0.268,0.0
0.0,0.261,0.0
0.0,0.257,0.0
0.0,0.258,0.0
0.0,0.267,0.0
0.0,0.26,0.0
0.0,0.258,0.0
0.0,0.258,0.0
0.0,0.25,0.0
0.0,0.26,0.0
0.0,0.264,0.0
0.0,0.259,0.0
0.0,0.255,0.0
0.0,0.256,0.0
0.0,0.259,0.0
0.0,0.26,0.0
0.0,0.259,0.0
0.0,0.258,0.0
0.0,0.254,0.0
0.0,0.251,0.0
0.0,0.244,0.0
0.0,0.258,0.0
0.0,0.261,0.0
0.0,0.265,0.0
0.0,0.263,0.0
0.0,0.261,0.0
0.0,0.261,0.0
0.0,0.262,0.0
0.0,0.259,0.0
0.0,0.259,0.0
0.0,0.255,0.0
0.0,0.254,0.0
0.0,0.254,0.0
0.0,0.262,0.0
0.0,0.282,0.0
0.0,0.271,0.0
0.0,0.27,0.0
0.0,0.272,0.0
0.0,0.278,0.0
0.0,0.281,0.0
0.0,0.297,0.0
0.0,0.291,0.0
0.0,0.275,0.0
0.0,0.266,0.0
0.0,0.27,0.0
0.0,0.29,0.0
0.0,0.285,0.0
0.0,0.284,0.0
0.0,0.289,0.0
0.0,0.291,0.0
0.0,0.273,0.0
0.0,0.268,0.0
0.0,0.261,0.0
0.0,0.272,0.0
0.0,0.27,0.0
0.0,0.263,0.0
0.0,0.27,0.0
0.0,0.268,0.0
0.0,0.27,0.0
0.0,0.274,0.0
0.0,0.265,0.0
0.0,0.257,0.0
0.0,0.254,0.0
0.0,0.263,0.0
0.0,0.251,0.0
0.0,0.257,0.0
0.0,0.258,0.0
0.0,0.254,0.0
0.0,0.248,0.0
0.0,0.254,0.0
0.0,0.248,0.0
0.0,0.248,0.0
0.0,0.268,0.0
0.0,0.256,0.0
0.0,0.257,0.0
0.0,0.253,0.0
0.0,0.253,0.0
0.0,0.25,0.0
0.0,0.251,0.0
0.0,0.254,0.0
0.0,0.24,0.0
0.0,0.245,0.0
0.0,0.265,0.0
0.0,0.253,0.0
0.0,0.257,0.0
0.0,0.263,0.0
0.0,0.265,0.0
0.0,0.253,0.0
0.0,0.254,0.0
0.0,0.256,0.0
0.0,0.251,0.0
0.0,0.259,0.0
0.0,0.265,0.0
0.0,0.274,0.0
0.0,0.274,0.0
0.0,0.28,0.0
0.0,0.295,0.0
0.0,0.276,0.0
0.0,0.291,0.0
0.0,0.281,0.0
0.0,0.273,0.0
0.0,0.273,0.0
0.0,0.272,0.0
0.0,0.263,0.0
0.0,0.269,0.0
0.0,0.266,0.0
0.0,0.259,0.0
0.0,0.27,0.0
1.0,0.266,0.0
1.0,0.28,1.0
1.0,0.273,1.0
1.0,0.277,1.0
1.0,0.267,1.0
0.0,0.265,1.0
0.0,0.266,0.0
0.0,0.273,0.0
1.0,0.275,0.0
0.0,0.264,1.0
0.0,0.258,0.0
0.0,0.255,0.0
0.0,0.261,0.0
0.0,0.273,0.0
0.0,0.279,0.0
0.0,0.273,0.0
0.0,0.282,0.0
0.0,0.273,0.0
0.0,0.281,0.0
0.0,0.273,0.0
0.0,0.258,0.0
0.0,0.271,0.0
0.0,0.265,0.0
0.0,0.262,0.0
0.0,0.267,0.0
0.0,0.268,0.0
0.0,0.266,0.0
0.0,0.271,0.0
0.0,0.27,0.0
0.0,0.267,0.0
0.0,0.259,0.0
0.0,0.257,0.0
0.0,0.257,0.0
0.0,0.256,0.0
0.0,0.265,0.0
0.0,0.26,0.0
0.0,0.264,0.0
0.0,0.271,0.0
0.0,0.265,0.0
0.0,0.264,0.0
0.0,0.256,0.0
0.0,0.265,0.0
0.0,0.25,0.0
0.0,0.256,0.0
0.0,0.259,0.0
0.0,0.259,0.0
0.0,0.269,0.0
0.0,0.27,0.0
0.0,0.267,0.0
0.0,0.267,0.0
0.0,0.26,0.0
0.0,0.268,0.0
0.0,0.258,0.0
0.0,0.252,0.0
0.0,0.256,0.0
0.0,0.265,0.0
0.0,0.266,0.0
0.0,0.268,0.0
0.0,0.276,0.0
0.0,0.274,0.0
0.0,0.279,0.0
0.0,0.283,0.0
0.0,0.281,0.0
0.0,0.274,0.0
0.0,0.271,0.0
0.0,0.275,0.0
0.0,0.277,0.0
0.0,0.262,0.0
0.0,0.259,0.0
0.0,0.26,0.0
0.0,0.257,0.0
0.0,0.256,0.0
0.0,0.262,0.0
0.0,0.252,0.0
0.0,0.255,0.0
0.0,0.261,0.0
0.0,0.267,0.0
0.0,0.274,0.0
0.0,0.272,0.0
0.0,0.273,0.0
0.0,0.274,0.0
0.0,0.277,0.0
0.0,0.282,0.0
0.0,0.286,0.0
0.0,0.272,0.0
0.0,0.277,0.0
0.0,0.274,0.0
0.0,0.27,0.0
0.0,0.26,0.0
0.0,0.254,0.0
0.0,0.259,0.0
0.0,0.255,0.0
0.0,0.258,0.0
0.0,0.266,0.0
0.0,0.265,0.0
0.0,0.264,0.0
0.0,0.268,0.0
0.0,0.283,0.0
0.0,0.283,0.0
0.0,0.283,0.0
0.0,0.294,0.0
0.0,0.296,0.0
0.0,0.295,0.0
0.0,0.292,0.0
0.0,0.302,0.0
0.0,0.298,0.0
0.0,0.282,0.0
1.0,0.277,0.0
0.0,0.287,1.0
1.0,0.286,0.0
0.0,0.282,1.0
1.0,0.276,0.0
1.0,0.297,1.0
1.0,0.293,1.0
1.0,0.29,1.0
1.0,0.28,1.0
1.0,0.282,1.0
1.0,0.286,1.0
0.0,0.275,1.0
0.0,0.274,0.0
0.0,0.27,0.0
0.0,0.278,0.0
0.0,0.283,0.0
0.0,0.287,0.0
1.0,0.289,0.0
0.0,0.29,1.0
0.0,0.291,0.0
0.0,0.291,0.0
0.0,0.296,0.0
0.0,0.299,0.0
1.0,0.278,0.0
1.0,0.28,1.0
1.0,0.279,1.0
1.0,0.278,1.0
1.0,0.28,1.0
1.0,0.279,1.0
1.0,0.283,1.0
0.0,0.279,1.0
1.0,0.279,0.0
0.0,0.298,1.0
0.0,0.287,0.0
0.0,0.282,0.0
1.0,0.277,0.0
0.0,0.271,1.0
1.0,0.272,0.0
1.0,0.271,1.0
1.0,0.277,1.0
0.0,0.281,1.0
1.0,0.281,0.0
1.0,0.303,1.0
1.0,0.305,1.0
0.0,0.292,1.0
1.0,0.277,0.0
1.0,0.286,1.0
1.0,0.288,1.0
0.0,0.285,1.0
0.0,0.283,0.0
0.0,0.289,0.0
1.0,0.298,0.0
0.0,0.287,1.0
0.0,0.295,0.0
0.0,0.296,0.0
1.0,0.294,0.0
0.0,0.296,1.0
0.0,0.293,0.0
0.0,0.3,0.0
0.0,0.307,0.0
0.0,0.302,0.0
0.0,0.293,0.0
0.0,0.287,0.0
0.0,0.287,0.0
0.0,0.286,0.0
0.0,0.286,0.0
0.0,0.285,0.0
0.0,0.296,0.0
0.0,0.293,0.0
0.0,0.298,0.0
0.0,0.297,0.0
0.0,0.289,0.0
0.0,0.296,0.0
0.0,0.294,0.0
0.0,0.295,0.0
0.0,0.293,0.0
0.0,0.289,0.0
0.0,0.288,0.0
0.0,0.281,0.0
0.0,0.286,0.0
0.0,0.28,0.0
0.0,0.286,0.0
0.0,0.301,0.0
0.0,0.294,0.0
0.0,0.296,0.0
0.0,0.31,0.0
0.0,0.3,0.0
0.0,0.294,0.0
0.0,0.304,0.0
0.0,0.304,0.0
0.0,0.295,0.0
0.0,0.283,0.0
0.0,0.286,0.0
0.0,0.28,0.0
0.0,0.276,0.0
1.0,0.288,0.0
1.0,0.289,1.0
0.0,0.29,1.0
0.0,0.281,0.0
0.0,0.293,0.0
0.0,0.286,0.0
0.0,0.287,0.0
0.0,0.29,0.0
0.0,0.288,0.0
0.0,0.286,0.0
0.0,0.286,0.0
0.0,0.28,0.0
0.0,0.282,0.0
1.0,0.29,0.0
0.0,0.287,1.0
1.0,0.287,0.0
1.0,0.288,1.0
1.0,0.281,1.0
1.0,0.28,1.0
0.0,0.286,1.0
0.0,0.288,0.0
0.0,0.281,0.0
0.0,0.285,0.0
0.0,0.297,0.0
0.0,0.304,0.0
0.0,0.299,0.0
0.0,0.279,0.0
0.0,0.296,0.0
0.0,0.295,0.0
0.0,0.287,0.0
0.0,0.292,0.0
0.0,0.303,0.0
0.0,0.295,0.0
0.0,0.287,0.0
0.0,0.282,0.0
0.0,0.282,0.0
0.0,0.275,0.0
1.0,0.282,0.0
0.0,0.282,1.0
1.0,0.284,0.0
1.0,0.28,1.0
1.0,0.278,1.0
1.0,0.28,1.0
0.0,0.281,1.0
0.0,0.288,0.0
0.0,0.299,0.0
0.0,0.3,0.0
0.0,0.284,0.0
0.0,0.289,0.0
1.0,0.29,0.0
1.0,0.288,1.0
0.0,0.286,1.0
0.0,0.291,0.0
0.0,0.292,0.0
0.0,0.291,0.0
0.0,0.294,0.0
1.0,0.294,0.0
1.0,0.282,1.0
1.0,0.288,1.0
1.0,0.284,1.0
1.0,0.282,1.0
1.0,0.286,1.0
0.0,0.296,1.0
1.0,0.299,0.0
0.0,0.29,1.0
0.0,0.295,0.0
0.0,0.286,0.0
0.0,0.281,0.0
0.0,0.285,0.0
1.0,0.281,0.0
1.0,0.283,1.0
1.0,0.286,1.0
1.0,0.289,1.0
2.0,0.285,1.0
1.0,0.287,2.0
1.0,0.278,1.0
1.0,0.278,1.0
0.0,0.281,1.0
0.0,0.294,0.0
0.0,0.284,0.0
0.0,0.282,0.0
0.0,0.272,0.0
1.0,0.27,0.0
1.0,0.271,1.0
1.0,0.277,1.0
0.0,0.275,1.0
0.0,0.272,0.0
0.0,0.28,0.0
0.0,0.275,0.0
0.0,0.282,0.0
0.0,0.291,0.0
0.0,0.278,0.0
0.0,0.282,0.0
0.0,0.282,0.0
0.0,0.282,0.0
0.0,0.288,0.0
0.0,0.29,0.0
0.0,0.284,0.0
0.0,0.289,0.0
0.0,0.282,0.0
1.0,0.285,0.0
1.0,0.293,1.0
1.0,0.286,1.0
0.0,0.293,1.0
0.0,0.28,0.0
0.0,0.283,0.0
0.0,0.286,0.0
0.0,0.299,0.0
0.0,0.315,0.0
0.0,0.308,0.0
0.0,0.319,0.0
0.0,0.324,0.0
0.0,0.313,0.0
0.0,0.309,0.0
0.0,0.287,0.0
0.0,0.295,0.0
0.0,0.295,0.0
0.0,0.319,0.0
0.0,0.314,0.0
0.0,0.309,0.0
0.0,0.301,0.0
0.0,0.292,0.0
0.0,0.287,0.0
0.0,0.277,0.0
0.0,0.28,0.0
0.0,0.278,0.0
0.0,0.273,0.0
0.0,0.275,0.0
0.0,0.273,0.0
0.0,0.284,0.0
0.0,0.283,0.0
0.0,0.27,0.0
