14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t-1)
1.0,0.309,1.0
2.0,0.308,1.0
1.0,0.312,2.0
2.0,0.318,1.0
1.0,0.32,2.0
1.0,0.325,1.0
2.0,0.329,1.0
2.0,0.323,2.0
1.0,0.329,2.0
2.0,0.334,1.0
2.0,0.33,2.0
2.0,0.342,2.0
2.0,0.343,2.0
2.0,0.323,2.0
1.0,0.307,2.0
0.0,0.31,1.0
0.0,0.295,0.0
0.0,0.298,0.0
0.0,0.288,0.0
0.0,0.279,0.0
0.0,0.292,0.0
0.0,0.293,0.0
0.0,0.288,0.0
0.0,0.306,0.0
1.0,0.291,0.0
0.0,0.294,1.0
1.0,0.296,0.0
1.0,0.296,1.0
1.0,0.309,1.0
1.0,0.307,1.0
1.0,0.304,1.0
1.0,0.305,1.0
1.0,0.301,1.0
0.0,0.303,1.0
1.0,0.295,0.0
0.0,0.301,1.0
0.0,0.296,0.0
0.0,0.299,0.0
0.0,0.293,0.0
1.0,0.286,0.0
0.0,0.294,1.0
0.0,0.293,0.0
0.0,0.303,0.0
0.0,0.3,0.0
1.0,0.291,0.0
1.0,0.284,1.0
1.0,0.286,1.0
1.0,0.289,1.0
1.0,0.288,1.0
1.0,0.298,1.0
1.0,0.286,1.0
1.0,0.294,1.0
1.0,0.297,1.0
1.0,0.311,1.0
1.0,0.299,1.0
1.0,0.303,1.0
1.0,0.301,1.0
1.0,0.296,1.0
1.0,0.301,1.0
1.0,0.304,1.0
1.0,0.299,1.0
1.0,0.302,1.0
2.0,0.305,1.0
2.0,0.302,2.0
1.0,0.306,2.0
1.0,0.307,1.0
1.0,0.298,1.0
1.0,0.299,1.0
1.0,0.299,1.0
1.0,0.302,1.0
1.0,0.296,1.0
1.0,0.288,1.0
1.0,0.286,1.0
0.0,0.292,1.0
0.0,0.297,0.0
0.0,0.292,0.0
1.0,0.299,0.0
1.0,0.297,1.0
1.0,0.298,1.0
2.0,0.31,1.0
2.0,0.322,2.0
2.0,0.314,2.0
2.0,0.32,2.0
2.0,0.332,2.0
2.0,0.35,2.0
2.0,0.354,2.0
2.0,0.366,2.0
2.0,0.362,2.0
2.0,0.367,2.0
2.0,0.355,2.0
2.0,0.344,2.0
2.0,0.349,2.0
2.0,0.37,2.0
2.0,0.369,2.0
2.0,0.38,2.0
2.0,0.387,2.0
2.0,0.381,2.0
2.0,0.37,2.0
2.0,0.368,2.0
2.0,0.365,2.0
2.0,0.348,2.0
2.0,0.352,2.0
2.0,0.357,2.0
2.0,0.351,2.0
2.0,0.346,2.0
2.0,0.347,2.0
2.0,0.342,2.0
2.0,0.337,2.0
2.0,0.346,2.0
2.0,0.338,2.0
1.0,0.335,2.0
2.0,0.322,1.0
2.0,0.315,2.0
1.0,0.306,2.0
1.0,0.318,1.0
1.0,0.315,1.0
1.0,0.323,1.0
1.0,0.327,1.0
2.0,0.318,1.0
1.0,0.309,2.0
1.0,0.309,1.0
1.0,0.313,1.0
1.0,0.318,1.0
1.0,0.314,1.0
1.0,0.299,1.0
1.0,0.309,1.0
1.0,0.311,1.0
1.0,0.309,1.0
1.0,0.31,1.0
1.0,0.308,1.0
1.0,0.303,1.0
1.0,0.315,1.0
1.0,0.31,1.0
1.0,0.309,1.0
0.0,0.301,1.0
1.0,0.306,0.0
1.0,0.302,1.0
1.0,0.3,1.0
1.0,0.293,1.0
0.0,0.299,1.0
0.0,0.302,0.0
1.0,0.318,0.0
0.0,0.309,1.0
1.0,0.3,0.0
1.0,0.32,1.0
1.0,0.311,1.0
1.0,0.307,1.0
1.0,0.289,1.0
0.0,0.288,1.0
1.0,0.286,0.0
0.0,0.286,1.0
0.0,0.297,0.0
1.0,0.299,0.0
1.0,0.289,1.0
0.0,0.294,1.0
0.0,0.302,0.0
0.0,0.307,0.0
1.0,0.306,0.0
1.0,0.311,1.0
1.0,0.305,1.0
1.0,0.304,1.0
1.0,0.303,1.0
1.0,0.301,1.0
1.0,0.295,1.0
1.0,0.297,1.0
1.0,0.304,1.0
1.0,0.289,1.0
1.0,0.308,1.0
1.0,0.31,1.0
1.0,0.296,1.0
2.0,0.302,1.0
1.0,0.295,2.0
1.0,0.287,1.0
1.0,0.292,1.0
1.0,0.294,1.0
1.0,0.293,1.0
0.0,0.286,1.0
0.0,0.282,0.0
0.0,0.28,0.0
0.0,0.284,0.0
0.0,0.281,0.0
0.0,0.277,0.0
0.0,0.28,0.0
0.0,0.29,0.0
0.0,0.284,0.0
0.0,0.291,0.0
0.0,0.285,0.0
0.0,0.298,0.0
0.0,0.293,0.0
0.0,0.289,0.0
0.0,0.285,0.0
0.0,0.285,0.0
1.0,0.286,0.0
0.0,0.28,1.0
0.0,0.285,0.0
0.0,0.286,0.0
1.0,0.289,0.0
1.0,0.287,1.0
1.0,0.28,1.0
0.0,0.289,1.0
0.0,0.274,0.0
0.0,0.263,0.0
0.0,0.26,0.0
0.0,0.272,0.0
0.0,0.27,0.0
1.0,0.279,0.0
1.0,0.271,1.0
1.0,0.276,1.0
0.0,0.293,1.0
0.0,0.299,0.0
0.0,0.298,0.0
0.0,0.296,0.0
0.0,0.296,0.0
1.0,0.295,0.0
1.0,0.285,1.0
1.0,0.287,1.0
1.0,0.298,1.0
1.0,0.307,1.0
1.0,0.301,1.0
1.0,0.306,1.0
1.0,0.323,1.0
1.0,0.317,1.0
