NZ	LH	CMIh	MS	FP	RAVK
0	0.00769657539385257	0.0122173273532978	0.0206535996510884	0.017907403945369	0.0205745151033944
1	0.00792180600273165	0.0145348131474111	0	0.0194445337425312	1.97082564715588e-05
2	0.0075886287617629	0.0210796077572711	0	0.0247289742603829	2.14308562122751e-05
3	0.0415772657853896	0.0288772789620398	0	0.0312940655401399	2.11457198531908e-05
4	0.0648124642738273	0.0289272964691563	0	0.0461445372749691	2.18177698629589e-05
